Section,KPI,Rural,Suburban,Urban,Rural without Industrial Influence,Rural with Industrial Influence,Urbanized Periphery,Industrial Use,Residential Use,Dense Mixed Use,High-Density Residential Use,Metropolitan Center
Meta Data,Total Vehicles all [#],385.0,1007.0,323.0,136.0,249.0,466.0,102.0,439.0,148.0,139.0,36.0
Meta Data,Total Vehicles (Size Medium) [#],300.0,646.0,153.0,106.0,194.0,330.0,56.0,260.0,87.0,57.0,9.0
Meta Data,Total Vehicles (Size Large) [#],85.0,361.0,170.0,30.0,55.0,136.0,46.0,179.0,61.0,82.0,27.0
Meta Data,Total Tour Length [km],45758.6907590249,90634.33003875965,18514.74306263608,14421.349464758045,31337.341294266862,46489.260120875784,7723.519808262047,36421.55010962183,9696.047564132263,7226.914603137555,1591.7808953662616
Meta Data,Total Number of Stops [#],22962.0,54882.0,14989.0,8011.0,14951.0,25864.0,5029.0,23989.0,7159.0,6556.0,1274.0
Meta Data,Total Number of Deliveries [#],41698.0,131989.0,50031.0,15341.0,26357.0,57382.0,14897.0,59710.0,20969.0,22905.0,6157.0
Tour Structure,Avg. Tour Length [km],118.85374223123351,90.00429993918536,57.32118595243369,106.0393342996915,125.85277628219623,99.76236077441155,75.72078243394164,82.96480662784016,65.51383489278555,51.99219138947881,44.21613598239615
Tour Structure,Avg. Initial Delivery Distance [km],18.560025239711024,14.203196711145639,10.975375671132094,16.237742646420347,19.82842055170914,15.394595820101731,10.397952223648774,13.8226567406471,11.569028904036944,10.400488519795656,10.75450443685006
Tour Structure,Avg. Number of Stops [#],59.641558441558445,54.50049652432969,46.40557275541796,58.904411764705884,60.04417670682731,55.502145922746784,49.30392156862745,54.64464692482916,48.37162162162162,47.16546762589928,35.388888888888886
Tour Structure,Avg. Distance Between Stops [km],1.444510819343769,1.200976124015557,0.7729683109181903,1.3386531823844046,1.5023286451528999,1.3163246483182882,1.212836142842441,1.0757776405408077,0.8916464321508962,0.6710810984711892,0.6784672161318757
Tour Structure,Avg. Max. Distance Between Stops [km],8.256783196191162,5.897841584930106,3.65811680883201,7.4188622475784465,8.714442830774814,6.664781886475954,6.342404676221332,4.9804392709618375,4.37853961265886,3.113620941486592,2.798737658683107
Tour Structure,Avg. Delivery Area [km²],54.065293506493504,19.619849056603773,4.201606811145511,40.37549264705882,61.54245381526104,27.05851931330472,13.753441176470588,13.08671298405467,5.892817567567567,2.941453237410072,2.1144444444444446
Tour Structure,Avg. Driving Share [%],51.43190707312667,42.29430281891468,32.126634775893535,48.268422383077336,53.15975413275201,44.936509511192995,36.58541853455543,40.81602919340888,37.06516490415689,28.365596332919,26.345576014518034
Tour Structure,Avg. Speed [km/h],30.21270310803432,27.612294862289016,23.683902574684627,29.47965425657162,30.613083203612337,28.656609362922623,27.16848685613408,26.606868573752667,23.8523711026119,24.067786948738814,21.509089515607712
