vehicle_id,Start time,End time,Tour Duration,Service Duration,Travel Duration,Start time formatted,End time formatted,Tour Duration formatted,Service Duration formatted,Travel Duration formatted,veh_class,service_num,tour_km,first_service_dist,raumsplit,provider,veh_size,main_area_type,deliveries,missed deliveries,b2b_ration,b2c_ration,ration_check,vehicle_load_factor,vehicle_deliver_factor,vehicle_fix_cost,vehicle_km_cost,vehicle_time_cost,overtime_cost,vehicle_cost,deliveries_per_stop,Hannover
freight_ups_31832_veh_cep_size_l_7_1,24682,60515,35833,12509,23324,1970-01-01 06:51:22,1970-01-01 16:48:35,1970-01-01 09:57:13,1970-01-01 03:28:29,1970-01-01 06:28:44,van,79,191.94053546433182,40.53321503344684,"defaultdict(<class 'int'>, {8: 1, 7: 24, 6: 54})",ups,l,6,101.0,0.0,0.7920792079207921,0.2079207920792079,1.0,0.4391304347826087,1.0,189.15,74.08904668923208,227.63908611111114,56.114086111111114,319.3531328003432,1.2784810126582278,False
freight_gls_30900_veh_cep_size_m_7_4,24971,68553,43582,16917,26665,1970-01-01 06:56:11,1970-01-01 19:02:33,1970-01-01 12:06:22,1970-01-01 04:41:57,1970-01-01 07:24:25,van,115,205.48503595932848,34.02169798958587,"defaultdict(<class 'int'>, {7: 71, 6: 14, 8: 30})",gls,m,7,137.0,0.0,0.06569343065693431,0.9343065693430657,1.0,0.8303030303030303,1.0,171.78,76.44043337687019,276.86676111111115,105.34176111111113,353.5621944879813,1.191304347826087,False
freight_gls_30900_veh_cep_size_m_7_3,24971,53947,28976,8423,20553,1970-01-01 06:56:11,1970-01-01 14:59:07,1970-01-01 08:02:56,1970-01-01 02:20:23,1970-01-01 05:42:33,van,63,181.33123182196982,36.172260813527664,"defaultdict(<class 'int'>, {7: 62, 6: 1})",gls,m,7,69.0,0.0,0.07246376811594203,0.927536231884058,1.0,0.41818181818181815,1.0,171.78,67.45521823777277,184.0780888888889,12.55308888888889,251.78830712666164,1.0952380952380953,False
freight_gls_30900_veh_cep_size_m_7_1,24971,61503,36532,12765,23767,1970-01-01 06:56:11,1970-01-01 17:05:03,1970-01-01 10:08:52,1970-01-01 03:32:45,1970-01-01 06:36:07,van,94,206.19904264545247,39.403965420711764,"defaultdict(<class 'int'>, {7: 86, 6: 2, 8: 6})",gls,m,7,104.0,0.0,0.057692307692307696,0.9423076923076923,1.0,0.6303030303030303,1.0,171.78,76.70604386410831,232.0796777777778,60.55467777777778,309.0407216418861,1.1063829787234043,False
freight_gls_30900_veh_cep_size_m_7_5,25035,40431,15396,3055,12341,1970-01-01 06:57:15,1970-01-01 11:13:51,1970-01-01 04:16:36,1970-01-01 00:50:55,1970-01-01 03:25:41,van,23,100.1836416517038,33.10037332135545,"defaultdict(<class 'int'>, {7: 23})",gls,m,7,25.0,0.0,0.08,0.92,1.0,0.15151515151515152,1.0,171.78,37.26831469443381,97.80736666666668,0.0,209.04831469443383,1.0869565217391304,False
freight_gls_31535_veh_cep_size_l_7_1,25129,58380,33251,8600,24651,1970-01-01 06:58:49,1970-01-01 16:13:00,1970-01-01 09:14:11,1970-01-01 02:23:20,1970-01-01 06:50:51,van,64,217.17710562634355,49.84172948971346,"defaultdict(<class 'int'>, {8: 35, 7: 29})",gls,l,8,70.0,0.0,0.0,1.0,1.0,0.30434782608695654,1.0,189.15,83.8303627717686,211.2362138888889,39.71121388888889,312.6915766606575,1.09375,False
freight_dpd_30890_veh_cep_size_m_7_3,25228,54519,29291,11580,17711,1970-01-01 07:00:28,1970-01-01 15:08:39,1970-01-01 08:08:11,1970-01-01 03:13:00,1970-01-01 04:55:11,van,73,174.3404120159837,39.7336471051643,"defaultdict(<class 'int'>, {4: 29, 5: 9, 8: 26, 6: 5, 7: 4})",dpd,m,4,94.0,0.0,0.11702127659574468,0.8829787234042553,1.0,0.5696969696969697,1.0,171.78,64.85463326994594,186.07921388888892,14.55421388888889,251.18884715883482,1.2876712328767124,False
freight_dpd_30890_veh_cep_size_m_7_1,25228,53016,27788,8299,19489,1970-01-01 07:00:28,1970-01-01 14:43:36,1970-01-01 07:43:08,1970-01-01 02:18:19,1970-01-01 05:24:49,van,54,156.80832180425196,41.09926423597572,"defaultdict(<class 'int'>, {4: 24, 8: 10, 5: 20})",dpd,m,4,67.0,0.0,0.16417910447761194,0.835820895522388,1.0,0.40606060606060607,1.0,171.78,58.33269571118173,176.5309888888889,5.005988888888889,235.11868460007062,1.2407407407407407,False
freight_dpd_30890_veh_cep_size_l_7_2,25355,54729,29374,11158,18216,1970-01-01 07:02:35,1970-01-01 15:12:09,1970-01-01 08:09:34,1970-01-01 03:05:58,1970-01-01 05:03:36,van,72,159.77915085448143,39.31863468511134,"defaultdict(<class 'int'>, {4: 69, 5: 1, 8: 2})",dpd,l,4,90.0,0.0,0.25555555555555554,0.7444444444444445,1.0,0.391304347826087,1.0,189.15,61.674752229829835,186.60649444444445,15.081494444444445,265.90624667427426,1.25,False
freight_hermes_31311_veh_cep_size_m_7_1,25409,52095,26686,9577,17109,1970-01-01 07:03:29,1970-01-01 14:28:15,1970-01-01 07:24:46,1970-01-01 02:39:37,1970-01-01 04:45:09,van,65,145.96566866438596,46.16365961860872,"defaultdict(<class 'int'>, {7: 34, 6: 31})",hermes,m,7,78.0,0.0,0.0,1.0,1.0,0.4727272727272727,1.0,171.78,54.29922874315157,169.53022777777778,0.0,226.0792287431516,1.2,False
