vehicle_id,Start time,End time,Tour Duration,Service Duration,Travel Duration,Start time formatted,End time formatted,Tour Duration formatted,Service Duration formatted,Travel Duration formatted,veh_class,service_num,tour_km,first_service_dist,raumsplit,service_dists,initial_delivery_distance,provider,veh_size,main_area_type,deliveries,missed deliveries,b2b_ration,b2c_ration,ration_check,vehicle_load_factor,vehicle_deliver_factor,vehicle_fix_cost,vehicle_km_cost,vehicle_time_cost,overtime_cost,vehicle_cost,deliveries_per_stop,Hannover,avg_dist_with_init,avg_dist_wo_init,median_dist_with_init,median_dist_wo_init,max_dist_with_init,max_dist_wo_init
freight_ups_31832_veh_cep_size_l_7_1,24682,60515,35833,12509,23324,1970-01-01 06:51:22,1970-01-01 16:48:35,1970-01-01 09:57:13,1970-01-01 03:28:29,1970-01-01 06:28:44,van,79,191.9405354643319,40.63688147625279,"defaultdict(<class 'int'>, {8: 1, 7: 24, 6: 54})","{'3470515': 40.63688147625279, '2596961': 46.11495200244346, '3084489': 48.16755738758381, '1074754': 49.41465275728697, '1682357': 51.37163923089603, '2593916-3798465-3798466-1718035': 52.02291645055006, '1298383-1298710': 52.51548002992186, '1298372': 52.711283093160766, '1591263': 53.36304948819199, '1480716': 54.03940020418846, '1528087-1528089-2260751': 59.40312141439192, '2831542': 60.76896809111541, '3569079': 61.16878665132345, '3592985': 61.467513164106975, '1751699-1751701-2793079-2793081': 63.88885822276541, '2636865': 66.06441178457462, '880987': 71.11106852740129, '72525': 72.19943997608452, '1591265': 74.18099363744871, '3213628-3607221': 86.33110737167462, '2736036': 86.8199291286946, '1011276': 87.79747562195587, '2736040': 88.98672970189118, '858353': 89.50087656138238, '858351': 89.9480740020416, '2285848-2290853-2290800-2715752': 95.83233358054181, '1749532': 97.0704007396071, '3557254': 98.36082299633699, '3351754': 99.51853525613214, '948766': 99.73069173546065, '829211': 100.02157386903463, '838550': 100.19526497393926, '355636': 100.36033895213556, '86764': 100.47322242101973, '86873': 100.68543057532956, '829201': 100.80745000410822, '1240507': 100.9162689385105, '3737573': 101.51334098485425, '3419513': 101.86852583469478, '3218980-86775': 102.68825187102526, '3522425': 103.02742255119318, '852405': 103.25776613328475, '852407': 103.3606988700501, '3522429': 104.0828770740918, '829135': 104.29535910581758, '3449925': 104.50029237913535, '3449923': 105.64493129871873, '829137': 105.99644044088717, '3737788': 106.33933781276913, '3425336': 106.42418901042494, '3760465': 108.21782943707439, '3760466-3247973': 108.33481244104209, '3750707': 109.40120873025761, '3616957': 111.9765990176184, '659282': 112.39728529805772, '659284': 112.46177029521736, '2045615': 112.90969817903357, '3449913': 115.87005628348798, '3616953': 119.57532369548233, '3041187': 122.50682680694375, '1833321': 122.67458550241962, '2209286': 125.80401922368077, '1833319': 129.05986126394242, '1161402-3519563': 130.4904326336875, '1697679': 131.30740018889955, '1161434': 135.69643551944503, '729557-2598610-729562': 136.70507010073922, '1697762': 137.4686185286853, '3510622': 139.3626276396008, '878089': 139.4647756033646, '2753700': 139.72506424778635, '836529': 141.95421344314641, '3310421': 143.04784246851852, '523357': 144.04556127792543, '886182': 147.02870441668733, '1697691': 149.62430730092092, '1917038': 150.49872403925582, '886180': 153.50151811437584, '3082825': 153.8325885507591}",40.63688147625279,ups,l,6,101.0,0.0,0.7920792079207921,0.2079207920792079,1.0,0.4391304347826087,1.0,189.15,74.08904668923212,227.63908611111117,56.11408611111112,319.35313280034325,1.2784810126582278,False,1.947247956338723,1.4512270137757222,0.8197260363304792,0.8183467957712622,40.63688147625279,12.150113734225911
freight_gls_30900_veh_cep_size_m_7_4,24971,68553,43582,16917,26665,1970-01-01 06:56:11,1970-01-01 19:02:33,1970-01-01 12:06:22,1970-01-01 04:41:57,1970-01-01 07:24:25,van,115,205.4850359593291,28.734407777335093,"defaultdict(<class 'int'>, {7: 71, 6: 14, 8: 30})","{'3147324-478557': 28.734407777335093, '3567200': 34.07729502290128, '822580': 38.16024690245266, '3346734': 38.89966670630245, '3346254': 39.467314382013754, '2427208': 40.32104431273963, '2427210': 40.36870023576385, '2427214': 40.47675925044443, '2807777-1911131-786615': 41.13963925237869, '3346218': 42.88736826197653, '2079540': 43.8754856349308, '3346232': 44.80198417550942, '729428': 45.669116859990275, '3346809': 46.02535197468516, '870971': 46.9094585779593, '150016': 47.30534634413357, '979996': 48.66106711546607, '801805': 49.05594433103371, '801817': 49.318205090206234, '801827': 49.62866586126712, '731513': 50.693269531739794, '801850': 51.09194015939473, '836474': 52.271401602808645, '3346230': 52.43824378871317, '3781511': 53.59139810560479, '485068': 55.429431654558975, '553820': 56.7617233063147, '3057680': 58.401519746091616, '729548': 59.169227091635136, '3348762': 59.92758492405432, '729456': 60.91202093300483, '978329': 61.29559529386977, '978333': 61.50990748605074, '1523885': 62.88435338302631, '3346041': 64.39097987501887, '3346043': 64.43208178509738, '3346162': 64.90751518862082, '3346135': 65.35821750838016, '3346226': 68.30791703339595, '2872025': 71.16425218196316, '3346013-3347267': 73.57403078060645, '1679459': 75.58621362065489, '420171': 75.93452427511212, '266777': 76.28214367178619, '1967269-979984': 76.74878582640207, '2884599': 77.78408943034071, '2884597': 78.9567782015553, '3459172': 79.2808718821239, '295610': 80.3711823802235, '344273': 80.64199105669603, '3347287': 81.48969259199535, '3346196-3346731': 82.99220095737455, '978345': 83.93248956096397, '1383808': 85.89749172540392, '3459174': 87.2180213036665, '475537': 87.25870451899793, '3102671': 90.61299813982556, '173828': 97.14100972952227, '1373927': 97.8277141492715, '206827': 98.64730735863309, '371987': 99.41430374860418, '3408844': 102.13936791915687, '3408837': 102.41410345717051, '3408873': 103.06082953579354, '769755': 103.48182214992777, '769759': 104.02842638486098, '3408879': 109.66019559465754, '3593379': 109.90907083316668, '991376': 110.17214707212892, '3593373-3593375': 111.60277916299859, '2600976': 113.83537413904523, '2522517': 114.28374187615427, '2157361': 114.7827419359231, '451544': 115.01970315907025, '930877': 120.70567823988539, '2198175-3334123': 121.77309124199373, '930883': 122.24240919593583, '2245595': 124.45071238218073, '2245597-2245599-2245601': 125.80339650472422, '2938878': 126.08561492993186, '2190820': 126.59100895066553, '2470413-3408224': 126.92312497691337, '2470411': 127.50036760497802, '2470410-3408273': 127.84181417017608, '2197920': 128.239111437287, '1573540': 128.98186060169314, '2197977': 129.03659674095454, '2197979': 129.1164645646854, '2194804': 129.26231155674466, '2197981-3334151': 129.3216676207533, '2249100-2249401': 131.65920371303844, '1337252': 132.86018474189817, '68946': 133.21180239846558, '2248020-2248066': 135.4213619266677, '2246000': 135.47436008300775, '2246006': 135.67787266368578, '2190824': 136.38972778429775, '2319860': 136.88883369214264, '2248021': 138.39878305666738, '1042712': 139.90569988871647, '71094': 141.45938357096355, '2198286': 148.48997919913865, '2319726': 149.46072138750463, '2319707': 152.15094368299003, '936922': 163.09162130672783, '1403601': 163.62540534384152, '936485-936919': 164.51510891082384, '998171': 165.1093433445914, '439209': 165.34091766678833, '2903939': 165.84938106395714, '205194': 166.82851655844854, '40212': 167.89301600992513, '1333919': 169.41246745538925, '1847447': 171.18171992815311, '1021937': 172.54861183392524}",28.734407777335093,gls,m,7,137.0,0.0,0.0656934306569343,0.9343065693430656,1.0,0.8303030303030303,1.0,171.78,76.44043337687043,276.86676111111115,105.34176111111113,353.5621944879816,1.191304347826087,False,1.5004227115993498,1.2615281057595626,0.8195932093615852,0.7936502774525529,28.734407777335093,10.940677623737798
freight_gls_30900_veh_cep_size_m_7_3,24971,53947,28976,8423,20553,1970-01-01 06:56:11,1970-01-01 14:59:07,1970-01-01 08:02:56,1970-01-01 02:20:23,1970-01-01 05:42:33,van,63,181.33123182197025,35.83609322967343,"defaultdict(<class 'int'>, {7: 62, 6: 1})","{'979803': 35.83609322967343, '615356': 36.248618264377534, '2070695': 37.208095767001886, '3618088': 37.73372753023138, '2759099': 39.36170620480633, '3525114': 39.861033058909506, '2461667': 40.328443777539825, '1687354': 40.84238670557388, '2894435': 41.2155243804055, '1042998': 42.54396311152953, '979809': 43.21455191263153, '69810': 51.79510079701201, '1337260-76667': 52.5131626364382, '1685165': 60.77499735549689, '2234068': 61.701882347637095, '1172103': 62.77545715327482, '2759103': 63.275613688813365, '2433602': 63.813553930310356, '1309191': 65.18772364069773, '1687069': 66.37943073181403, '2064923': 67.06860498147775, '2941510': 67.4769026397622, '2252237': 73.2517386021111, '1038679': 76.03163657834115, '3245514': 79.62201840833549, '2064933': 80.16715751610101, '2678767': 81.1819645970657, '2340334': 83.11664070021475, '980086': 103.00059919269601, '1651762': 103.62164268102723, '1445561': 104.17107856603869, '2538273': 104.3478733396839, '1678678': 105.34031917121831, '1678689': 105.56601505293655, '932178-1994254-1994252-2914518-548584-548585': 108.5593173490985, '1742108': 108.94277608927833, '3809825': 109.28197008643652, '1400128': 109.82344585635414, '1400125-2538392': 110.0671621312612, '2380355': 111.61810783138006, '2380383': 111.72910834431906, '2380361': 114.59390071063834, '2538265': 115.63024392689357, '801591': 117.10787631925297, '1984712': 119.35175200810976, '1064612': 120.02179300593023, '3809829': 121.30139430320718, '201809': 123.53673240658999, '201520': 123.88703883605041, '1445567': 125.53659385435985, '1445573': 125.79741025054679, '2538393': 127.01401025905544, '3396655': 130.75894061881473, '1539722': 134.48433916117378, '3347261': 136.12067806812024, '3709085': 136.8595712115088, '866955': 137.51283328157606, '1096083': 137.6769660061676, '2904012': 138.23289580538005, '155685-155689': 141.2332324692691, '3567198': 142.2884105376456, '1980091': 145.47334746579895, '2359262': 148.18554607143048}",35.83609322967343,gls,m,7,69.0,0.0,0.072463768115942,0.927536231884058,1.0,0.4181818181818181,1.0,171.78,67.45521823777293,184.0780888888889,12.55308888888889,251.7883071266618,1.0952380952380951,False,2.352151524943341,1.8120879490605974,0.9924458315344111,0.9759616670793818,35.83609322967343,19.88395849248127
freight_gls_30900_veh_cep_size_m_7_1,24971,61503,36532,12765,23767,1970-01-01 06:56:11,1970-01-01 17:05:03,1970-01-01 10:08:52,1970-01-01 03:32:45,1970-01-01 06:36:07,van,94,206.1990426454524,39.62626147601805,"defaultdict(<class 'int'>, {7: 86, 6: 2, 8: 6})","{'2900952': 39.62626147601805, '2011773-2011775': 40.90447244604994, '454081': 41.58550150162093, '460333': 42.00188621552244, '866951': 42.70661187814758, '2124814-2124816-866740': 44.16636875333998, '454093': 47.427344458405805, '2011769': 48.91885450835371, '3721907-454066': 50.63529116573354, '458042': 52.455697917218245, '3739641': 52.83248166023674, '363001-363019': 53.78288655682212, '3549814': 56.023737097355145, '1506528-202823': 58.20242716284927, '3775410': 60.12959397809133, '3775404': 60.944266538008364, '3204731': 62.641878136328, '319315': 64.67212819335109, '2456531': 67.08825359183396, '1358906': 67.72427821467362, '3775392': 68.62839049777699, '2012333': 69.52958562988749, '335956': 72.14562476905154, '460163': 74.90636369791801, '460167': 75.07897941463679, '1884656-979941': 75.7863509682576, '571138': 78.10751897967367, '2819651-460310-2144653-2144659-460346-460348': 82.43628383018668, '3721877': 82.8797798910704, '454059': 86.45156122661614, '456064': 87.8407302985798, '455712': 88.4444064978173, '455708': 88.78834516688173, '458122': 89.91262672060853, '455702': 90.98168064763266, '2431187': 94.38005009654256, '455724': 96.9524457863732, '457881': 97.85132506873595, '3245940': 97.9935371459126, '3245920': 98.20434483708485, '3509189': 98.23196939512852, '684053': 99.1493045659348, '458412': 100.70208071826907, '458400': 101.82885971306364, '455716': 102.54896997435256, '455718': 102.68474682113269, '457875': 104.27448103363983, '457995': 104.91729664629732, '1179816': 105.70156425396237, '458368': 106.93939779204572, '158700': 108.55487535314418, '455728': 110.91104372571881, '3656963': 113.66511529646478, '363006': 117.26124803938993, '363002': 117.99750859554332, '455700': 120.11437167101514, '458110': 121.10862537142272, '458374': 122.2618382877759, '2254887': 124.04792238226815, '1093635': 125.72490015559352, '3554539': 130.0132986649078, '870930': 130.72653359475962, '1145688': 131.25231391468392, '3554416': 131.56099778721955, '1741931': 137.98291374276727, '141175': 138.6398160889016, '3442379': 140.3582633047716, '1159163': 140.6211150350729, '1166186': 141.56696216068366, '1198287': 143.03206829746128, '3510849': 143.48344540975464, '1444692': 144.60157125801905, '3245381': 146.0751386189963, '3442405': 147.38465993800062, '1166181-3442382': 150.6587154841885, '15962': 154.43130552871403, '15968': 155.05193705532682, '15899': 155.76323003125805, '1233165': 156.78665795748597, '15885': 157.5526203861181, '15883': 157.98606021705413, '979905': 158.5248560387099, '1932017-979921': 159.1316144884742, '3355691': 159.7662719964736, '16053': 160.14326080840846, '615352': 164.32134328612779, '1477000': 164.67651754469358, '1173910': 165.18850993525098, '3525753': 166.068929670088, '790257': 166.93786880887322, '1001472': 167.91598245620483, '615416': 168.5999235581996, '205739': 172.0064060636727, '936486': 172.78068097879856}",39.62626147601805,gls,m,7,104.0,0.0,0.0576923076923076,0.9423076923076924,1.0,0.6303030303030303,1.0,171.78,76.70604386410828,232.0796777777778,60.55467777777778,309.0407216418861,1.1063829787234043,False,1.8380923508382825,1.4317679516428012,1.0088408133177538,0.9942537004075831,39.62626147601805,6.421915955547718
freight_gls_30900_veh_cep_size_m_7_5,25035,40431,15396,3055,12341,1970-01-01 06:57:15,1970-01-01 11:13:51,1970-01-01 04:16:36,1970-01-01 00:50:55,1970-01-01 03:25:41,van,23,100.1836416517039,32.74820445827923,"defaultdict(<class 'int'>, {7: 23})","{'1373949': 32.74820445827923, '3637057': 33.13907472730987, '3562316-3562320': 33.714266314077726, '3032500': 33.7520961516374, '3040380': 34.21987708041029, '1373955': 34.66664888292623, '2215625-2215627-2215629': 36.57228898551152, '980127': 38.7867231546129, '1167384': 39.285042837774036, '3101768': 39.78241703678629, '1309546': 40.82975169265666, '439191-439207': 42.6730407318702, '1476724': 43.80628449018835, '205196': 44.614293491633404, '371995': 45.776695238446514, '3290020-3336466': 46.89478171530701, '1373957': 47.81463482488913, '1309530': 48.7470985271671, '553850': 53.07093717718883, '553824-553853': 53.75442983416132, '2427194': 54.03683244865225, '936709': 59.773845812061914, '2265345': 66.27144015638146}",32.74820445827923,gls,m,7,25.0,0.0,0.08,0.92,1.0,0.1515151515151515,1.0,171.78,37.26831469443385,97.80736666666668,0.0,209.04831469443383,1.0869565217391304,False,2.881366963320933,1.5237834408228286,0.932463702277964,0.9261584059300425,32.74820445827923,6.497594344319545
freight_gls_31535_veh_cep_size_l_7_1,25129,58380,33251,8600,24651,1970-01-01 06:58:49,1970-01-01 16:13:00,1970-01-01 09:14:11,1970-01-01 02:23:20,1970-01-01 06:50:51,van,64,217.17710562634343,50.09280345417019,"defaultdict(<class 'int'>, {8: 35, 7: 29})","{'1358672': 50.09280345417019, '1358670': 50.92767693144953, '2708962': 51.592423346321944, '180829': 52.83285258052498, '551495': 53.0318410156151, '3529776': 55.90913101379015, '2192249-3529528': 57.11037804121407, '3530126': 57.54150397140247, '3529513': 58.415802223753175, '3531214': 59.3898401612339, '553210': 59.634629791219496, '878200': 69.25055780145657, '2051948': 69.92323543333588, '533713': 72.33664073520386, '2152014': 75.06663474190029, '923326-923328': 75.80548625005783, '1318706': 76.21868716551046, '1318702': 79.60634036020654, '316899-316895-316906': 84.65887954023526, '328142-328146': 88.25193037639932, '704642': 89.16255855155083, '704644': 89.55715194396215, '704711': 90.53548968930265, '251301': 92.96293517064962, '419606-690383': 94.83519512346976, '678030': 97.70860179160067, '690487': 98.93532708843625, '1260510-690476': 99.26791721398575, '3539744': 100.06538607711887, '2583183': 101.43777726422395, '1260517': 102.49343136040162, '2043145-2043147-678023': 103.2948314618619, '887042': 103.44814320181801, '676530': 104.59126171650642, '273945': 107.6006285784362, '3049576': 122.70886259981388, '1190650': 123.47753550487334, '1994202': 124.91486899319816, '2518126': 125.22620743452896, '3049810': 125.95278134655415, '3049812': 126.12108721699194, '3586957': 127.22870057367228, '3586953': 128.26914032044297, '691278': 128.8142571907195, '1187812': 137.63347545747328, '133160': 138.02168093357778, '1898782': 138.19034396375858, '133166': 138.61210586109686, '184340-2117150-184342': 139.32413871362445, '184299': 139.64088281153894, '2063017': 140.99088393891503, '1128968': 141.77529173254771, '133162': 142.95712952797024, '1045265-2785415': 144.79088216532878, '1885383': 148.17954809317837, '1881290': 148.9481942925758, '1506524-1723449': 150.0535922126925, '1651097': 150.5804039460619, '2117379': 151.43451992835017, '1377001': 153.1855502118593, '184344': 154.6768169421131, '184348': 155.15511954539897, '597521': 160.77279267261807, '1187818-2586872': 162.97873863984964}",50.09280345417019,gls,l,8,70.0,0.0,0.0,1.0,1.0,0.3043478260869565,1.0,189.15,83.83036277176858,211.2362138888889,39.71121388888889,312.69157666065746,1.09375,False,2.5465427912476506,1.7918402410425311,1.009388746055592,0.9783377453404967,50.09280345417019,15.108234021377683
freight_dpd_30890_veh_cep_size_m_7_3,25228,54519,29291,11580,17711,1970-01-01 07:00:28,1970-01-01 15:08:39,1970-01-01 08:08:11,1970-01-01 03:13:00,1970-01-01 04:55:11,van,73,174.34041201598373,39.01901238550748,"defaultdict(<class 'int'>, {4: 29, 5: 9, 8: 26, 6: 5, 7: 4})","{'1219409': 39.01901238550748, '1219413': 39.10520181793694, '1219417': 39.19042386815743, '1219421': 39.30336100439529, '3219216': 39.837715680144726, '2965692': 41.694928660549905, '3299335': 45.47822007585027, '262483': 46.18856477319318, '1473432': 47.2476257671805, '13238': 48.35906814954129, '2650533': 49.977324314076455, '3705271': 51.21584229641032, '900040': 51.91762041721263, '900046': 52.197817954176095, '2000788': 53.519494562376515, '1819668': 55.530132922899924, '3647215': 55.70222519064812, '3647217': 55.88268312975289, '1757210': 56.49189014792128, '1757212': 56.59347245586447, '1757200': 56.65319687783719, '900038': 57.460332046852955, '2650468': 60.93570806867279, '1240166-3136119': 64.3508595364181, '1240164': 64.79344680048634, '755890': 65.42655694440074, '2523001': 69.25716248070516, '183320': 70.6497320538089, '3141180': 71.24881999797775, '2970015': 72.5204487080834, '813691': 74.53252340866725, '1553710': 76.72155321984148, '505100': 77.95905980027592, '337904': 81.17590282260593, '337922': 81.78315864984809, '1148769': 82.19908208456079, '3187691': 83.2072080454389, '2950530': 83.52116774020038, '771465': 83.94937508275312, '385682': 84.80494336613748, '2197786': 85.14501471985616, '1712506': 85.95156320497536, '3696497': 87.28240781687998, '218606': 87.6717144688465, '2950505': 88.28666455085857, '385684': 89.81249892428644, '2048565': 89.96324233133285, '3296308': 91.0349879395542, '3296317': 91.55076463202859, '1521879': 95.60818721964834, '218438': 96.70335645982993, '2950526': 98.47753619766726, '532232': 100.30218703157223, '218610': 100.59093478690069, '2197790': 102.47102276081436, '2197784': 102.66306524959504, '1271781': 103.40364274475236, '1951070': 112.6611636402324, '2808982': 113.41332720897171, '1951054': 113.74174358856607, '1951066': 114.75012565107049, '1877626': 121.76926120994689, '1419272-1011334-543656-3127034-543650': 123.33811728343727, '3126765': 123.45666462824641, '1295060-300313': 125.12698710543555, '2265051': 126.71837600884703, '1295037': 128.672973235802, '1011268': 129.2515900278213, '1550711': 130.53850919625387, '1659734-1736104': 132.11871610584828, '170549': 135.17626660337316, '1039935': 135.2583163973841, '176265': 136.0247254851272}",39.01901238550748,dpd,m,4,94.0,0.0,0.1170212765957446,0.8829787234042553,1.0,0.5696969696969697,1.0,171.78,64.85463326994595,186.0792138888889,14.55421388888889,251.1888471588348,1.2876712328767124,False,1.863352403905852,1.3473015708280516,1.0081259608781181,0.9318471221312379,39.01901238550748,9.257520895480042
freight_dpd_30890_veh_cep_size_m_7_1,25228,53016,27788,8299,19489,1970-01-01 07:00:28,1970-01-01 14:43:36,1970-01-01 07:43:08,1970-01-01 02:18:19,1970-01-01 05:24:49,van,54,156.8083218042516,41.2215419079786,"defaultdict(<class 'int'>, {4: 24, 8: 10, 5: 20})","{'787035': 41.2215419079786, '1502426': 43.00677385488086, '913890': 44.066741548696, '1219475': 44.37759097970423, '2267512': 47.49392650549021, '771467-771481': 51.49306525811042, '3329511': 51.632105761389894, '3329513': 51.736132916859816, '3329517': 51.99484694489879, '287113': 53.850388958619156, '287115': 54.246842463484384, '2241606': 56.85631815408399, '1414796': 57.16247988907146, '2925523': 57.40279815446511, '1414812': 57.80366049713887, '1369220': 59.97305061603119, '913839': 62.971383026021705, '17674': 63.356336718707546, '1219477': 64.26915293319732, '3492737': 64.52343093112384, '2618312': 69.89015893081502, '3492729': 71.10889084695792, '2241971': 71.69366793227123, '1712229': 75.54450160408228, '1584420': 80.0518481992151, '765895': 81.24598728486241, '3127039': 81.71456568484734, '1221818': 82.29337669137755, '2432576-2438514': 84.43883308924785, '2438649': 84.8393690682036, '1372349': 85.45652532999765, '1229039': 85.76308615076132, '2438520': 86.34056288983031, '351827': 87.63698368976961, '2432574': 88.1853215471908, '3379807': 89.45289917753915, '2438733': 89.58164475289686, '2438727': 90.00279235949074, '1792419': 90.69701449760478, '2226738': 91.43829765523375, '2831717': 94.08703862993289, '3611130': 96.28357197882718, '2226742': 96.95779072492067, '2078762': 97.74198641677293, '3379809': 98.6339811341376, '2779333-2779335': 103.4552732820315, '2446471': 103.90047263124185, '1792507': 105.48916481821767, '3826431': 110.92866466861278, '1520413': 111.60346553804575, '2841781': 112.36711218121565, '2257824': 113.59584072670354, '118123-1576571': 114.1038687174897, '765928': 115.56026130856186}",41.2215419079786,dpd,m,4,67.0,0.0,0.1641791044776119,0.835820895522388,1.0,0.406060606060606,1.0,171.78,58.33269571118159,176.5309888888889,5.005988888888889,235.11868460007048,1.2407407407407407,False,2.140004839047442,1.4026173471808165,0.7739211675110766,0.7636466431698921,41.2215419079786,5.439499850395109
freight_dpd_30890_veh_cep_size_l_7_2,25355,54729,29374,11158,18216,1970-01-01 07:02:35,1970-01-01 15:12:09,1970-01-01 08:09:34,1970-01-01 03:05:58,1970-01-01 05:03:36,van,72,159.7791508544814,39.61072717895063,"defaultdict(<class 'int'>, {4: 69, 5: 1, 8: 2})","{'1521856-1521898': 39.61072717895063, '1219459': 40.27236825388781, '3115324': 41.29493789731749, '1219437': 41.462239409086834, '3700570': 42.620871684330204, '337824': 42.86781101051195, '2193745': 43.99811498494498, '1521857': 45.048985268494114, '1219431': 45.792513346606874, '1219373': 46.014085288955826, '1219425': 46.966729585408444, '2197788': 48.15568091481738, '2669112': 49.8362275757822, '1174693-292168': 53.041514201248674, '1550566': 59.73614486458475, '1920246': 67.06990518193267, '397274': 68.43658923449023, '685730': 68.69651235097952, '1371228': 68.89889872050598, '3437513': 70.21573439758208, '1011300': 70.30257191562498, '2175621': 70.60765119140046, '1711806': 71.22947442641065, '685638': 72.01721406707536, '711182': 72.47211397322394, '1033991': 72.80868250029567, '914269': 73.20944795059228, '1008557': 73.53317636874392, '1011244': 74.08503716090539, '1011248': 74.22467661025532, '3543350': 74.36916603543168, '218396-427607-427605': 74.85344850933069, '834640': 75.43550144162798, '834642': 75.60456227770966, '2097868': 76.21594947077352, '1281015': 76.8221265676473, '1281017': 77.0217569303268, '1008547': 77.15378943815287, '1008553': 77.3678692849876, '1008555': 77.48416105991076, '263802-777800-442189-442191': 77.90217090423505, '1914740-3737542': 78.70464112667601, '691355': 79.44502014060807, '3446612': 80.81919777703112, '3437506': 81.37188747943223, '3437516': 81.50720990307741, '2487034': 81.6987412557992, '1266343': 81.97319038269065, '2484441': 83.70840984974538, '1414790': 84.00448888313414, '1414799-427599-427609': 84.39045129809664, '1387089': 86.04483005828277, '1314898-1314900': 87.02495753482205, '777385': 87.11709518898564, '700094': 88.91909865400675, '3336331': 89.75791318811956, '3336341': 91.38781055757711, '2487036-2487060': 92.34711648173469, '1883565': 93.53265737185299, '1883567': 93.57557788744718, '1008759': 94.13496273408865, '3139321-3139329-3139327': 99.03247753212555, '1502579-3737578-3737580': 99.95178812990922, '218397': 101.0965180841662, '2046846': 103.09402186780696, '913855': 104.77582959979853, '913857': 104.99498893147816, '809637': 106.14757871513885, '1011243-1011295-2507382': 112.12615324553731, '1011297-2487063': 116.34479697460036, '1757202': 119.39716880763405, '184173-2456282': 122.1539559279127}",39.61072717895063,dpd,l,4,90.0,0.0,0.2555555555555555,0.7444444444444445,1.0,0.391304347826087,1.0,189.15,61.67475222982982,186.60649444444445,15.081494444444443,265.90624667427426,1.25,False,1.6965827212210098,1.1625806866050996,0.7010100444346179,0.6616410749371795,39.61072717895063,7.333760317347917
freight_hermes_31311_veh_cep_size_m_7_1,25409,52095,26686,9577,17109,1970-01-01 07:03:29,1970-01-01 14:28:15,1970-01-01 07:24:46,1970-01-01 02:39:37,1970-01-01 04:45:09,van,65,145.96566866438565,46.383739258829145,"defaultdict(<class 'int'>, {7: 34, 6: 31})","{'3007286-525968': 46.383739258829145, '1186341': 47.62213013651994, '3067103': 48.00237089434948, '2188418-3595941': 48.50566643665088, '1179774': 48.890832004185995, '1179727': 49.08810431031322, '3054981': 49.370293366468864, '1184910': 50.01000260006325, '813389': 50.2996574317958, '2283989-3329085-2635118-3329039': 50.936608555401136, '1909603': 51.54150305650703, '2353189': 53.887831689338, '2635103': 54.0905168727329, '2353150-3066935': 55.50127119986069, '1185002': 56.05897839342741, '1185008-3067107': 56.466250199449426, '2248598': 57.793496815345726, '1179723': 58.60826505416481, '2746507': 62.971239386639496, '2524868': 63.42236484049525, '2524870': 63.56440403697402, '1297401': 63.83645162543291, '2584755': 64.14059424733043, '2308474': 64.95852154599268, '208319': 65.28472903283615, '2524564': 65.93624194255378, '2524945': 66.63596210881127, '2525016': 66.71673171434877, '1198383': 66.9741180384184, '2353013': 67.37170620142304, '1908149': 67.99604743353471, '2524560': 68.97506603464068, '2524941': 70.18179250079916, '786999': 70.62275342542638, '2659700': 75.11404551668771, '191635': 75.60845254044494, '191639': 76.04284138453018, '1402240': 76.49476564861602, '76794': 76.73799052791844, '3632811': 77.01922961597938, '1904589': 77.41653997335146, '684603': 78.04534504535064, '1709577-1904592': 78.67415011734982, '3135717': 81.07030260920298, '2094783': 81.49393838257777, '3340606': 82.45074708412322, '2662047': 83.05807692696168, '2746246': 86.8524485608008, '1904529': 90.16373413465932, '2935098': 90.73246256027619, '3334594': 90.98521085173509, '3133182': 91.283890915627, '2664828': 91.7516471945473, '3335035': 93.96770552602665, '2664374': 97.50195652704781, '1461850-1468108': 98.28709802804032, '3693': 99.25446213067609, '3332239': 100.5622078853533, '3269155': 102.01637672356503, '1709594': 103.41771226248494, '1654027': 104.21552042143932, '2143022': 105.14558151930896, '620587': 105.53131887782105, '2035165': 106.18368232108881, '597971': 106.77793069292953}",46.383739258829145,hermes,m,7,78.0,0.0,0.0,1.0,1.0,0.4727272727272727,1.0,171.78,54.29922874315146,169.53022777777778,0.0,226.07922874315148,1.2,False,1.6427373952758388,0.9436592411578185,0.6073298428384533,0.6061121719721747,46.383739258829145,4.491292091261329
