,Rural,Suburban,Urban,Total
num_persons,229692,628937,292211,1150840.0
num_companies,6743,30629,15558,52930.0
employees,49278,364469,236516,650263.0
num_pakete,43282,128099,51312,222693.0
num_B2B_pakete,5557,28402,14051,48010.0
num_B2C_pakete,37725,99697,37261,174683.0
area_km2,1464.73394770829,779.7630268393534,50.79088205123985,2295.2878565988835
persons_density,156.81482658292592,806.5745339956641,5753.217668187097,501.3924491829509
companies_density,4.60356640914211,39.27988240754352,306.31482210339396,23.060288428672614
employees_density,33.6429698219939,467.409953351235,4656.662582890239,283.3034637161145
pakete_density,29.549393640885185,164.27939718971945,1010.260068888633,97.02181770350256
b2b_density,3.793863048435816,36.42388651732185,276.6441422660232,20.91676643605842
b2c_density,25.755530592449368,127.85551067239759,733.6159266226098,76.10505126744414
b2b_anteil,0.1283905549651125,0.22171913910334975,0.2738345806049267,0.21558827623679236
