,Dense Mixed Use,High-Density Residential Use,Industrial Use,Metropolitan Center,Residential Use,Rural with Industrial Influence,Rural without Industrial Influence,Urbanized Periphery,Total
num_persons,155529,125135,81300,11547,278087,135993,93699,269550,1150840.0
num_companies,6974,4617,5880,3967,10253,4880,1863,14496,52930.0
employees,106322,64854,103034,65340,123710,35036,14242,137725,650263.0
num_pakete,23233,21344,16860,6735,54481,25902,17380,56758,222693.0
num_B2B_pakete,5934,4966,4732,3151,10711,3903,1654,12959,48010.0
num_B2C_pakete,17299,16378,12128,3584,43770,21999,15726,43799,174683.0
area_km2,36.41684282641157,11.968036103957447,99.49068661591478,2.4060031208708317,201.07620810542733,804.1151157986501,660.6188319096401,479.19613211801135,2295.2878565988835
persons_density,4270.798562669511,10455.767254798126,817.1619150027561,4799.245645126455,1382.9930583045148,169.12130779301575,141.83519372153808,562.5045402779213,501.3924491829509
companies_density,191.50479445027722,385.7775795373232,59.10100935075284,1648.7925412848922,50.990617421153054,6.0687828199239435,2.8200830948379965,30.250661531696334,23.060288428672614
employees_density,2919.5831309925975,5418.934187419009,1035.6145233750797,27157.072005937698,615.2393720053491,43.57087599976543,21.558574040087358,287.4084133176654,283.3034637161145
pakete_density,637.9740306084443,1783.4170798450568,169.46309824042396,2799.2482393631835,270.94702308805614,32.21180586099795,26.308665694194513,118.44419475827956,97.02181770350256
b2b_density,162.94658019328148,414.93858782377026,47.562240858463,1309.6408615045866,53.268360791765375,4.853782652902285,2.503713064338189,27.043206594181346,20.91676643605842
b2c_density,475.02745041516283,1368.4784920212865,121.90085738196096,1489.6073778585967,217.67866229629078,27.358023208095663,23.804952629856324,91.40098816409821,76.10505126744414
b2b_anteil,0.2554125597210864,0.2326649175412294,0.28066429418742583,0.4678544914625093,0.19660064976780897,0.15068334491545055,0.0951668584579977,0.22832023679481306,0.21558827623679236
