powertrain,segment,pollutant,range,a,b,c,vmin,vmax,tmin,tmax,source
diesel,N1-I,CO,RANGE 1,0.161136841516877,0.0,27.3472253241714,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-I,CO,RANGE 2,0.897,-10.045,23.836,5,45,-10,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-II,CO,RANGE 1,0.161136841516877,0.0,27.3472253241714,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-II,CO,RANGE 2,0.897,-10.045,23.836,5,45,-10,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-III,CO,RANGE 1,0.161136841516877,0.0,27.3472253241714,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-III,CO,RANGE 2,0.897,-10.045,23.836,5,45,-10,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-I,NOx,RANGE 1,0.0480610964982746,0.0,14.6608380769528,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-I,NOx,RANGE 2,0.151,-2.435,14.019,5,45,-10,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-II,NOx,RANGE 1,0.0480610964982746,0.0,14.6608380769528,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-II,NOx,RANGE 2,0.151,-2.435,14.019,5,45,-10,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-III,NOx,RANGE 1,0.0480610964982746,0.0,14.6608380769528,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-III,NOx,RANGE 2,0.151,-2.435,14.019,5,45,-10,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-I,VOC,RANGE 1,-0.286139792220602,0.0,18.4450975920223,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-I,VOC,RANGE 2,-0.545263944465096,-0.969953256095165,22.2798673655373,5,45,-30,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-II,VOC,RANGE 1,-0.286139792220602,0.0,18.4450975920223,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-II,VOC,RANGE 2,-0.545263944465096,-0.969953256095165,22.2798673655373,5,45,-30,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-III,VOC,RANGE 1,-0.286139792220602,0.0,18.4450975920223,5,45,0,50,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-III,VOC,RANGE 2,-0.545263944465096,-0.969953256095165,22.2798673655373,5,45,-30,0,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-I,EC,RANGE 1,0.0,-0.008,1.34,0,0,-10,30,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-II,EC,RANGE 1,0.0,-0.008,1.34,10,130,-10,30,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
diesel,N1-III,EC,RANGE 1,0.0,-0.008,1.34,10,130,-10,30,"EMEP/EEA air pollutant emission inventory guidebook 2023 - Update 2025, ch. 1.A.3.b.i-iv Appendix 4 (Oct 2025, COPERT 5.9.1)"
