name,value,unit,source
ttw_co2_g_per_mj_diesel,74.22,g CO2/MJ,"derived inside the source: 3.169 kg CO2/kg diesel / 42.695 MJ/kg (EMEP/EEA GB 2023-Update 2025 ch. 1.A.3.b.i-iv, CO2-per-kg-fuel table and Tab. 3-28 default calorific values). B7 market fuel would give 3.144/42.32 = 74.3, i.e. <0.1 % apart"
wtt_co2e_g_per_mj_diesel,18.9,g CO2e/MJ,"NOT a guidebook value: JEC WTW v5 diesel B7 upstream (system-boundary parameter, METHODS-LOG 1.4)"
grid_co2e_g_per_mj,105.6,g CO2e/MJ,"NOT a guidebook value: UBA Strommix DE ~380 g CO2e/kWh (sensitivity parameter, vary in the paper)"
gwp_ch4,29.8,kg CO2e/kg,"NOT a guidebook value: IPCC AR6 GWP100 fossil methane"
gwp_n2o,273.0,kg CO2e/kg,"NOT a guidebook value: IPCC AR6 GWP100"
n2o_g_per_km_diesel_lcv,0.011,g/km,"EMEP/EEA GB ch. 1.A.3.b.i-iv Tab. 3-68 'Diesel passenger cars and LCVs', Euro 7: urban cold 9 / urban hot 11 / rural 4 / highway 4 mg/km. Urban hot chosen = conservative (highest hot value); no segment resolution in the source; rural 4 mg/km is the sensitivity lower bound"
tsp_tyre_g_per_km_n1_i,0.0107,g/km,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-4 tyre wear TSP, LCV (N1-I), quality code B"
tsp_tyre_g_per_km_n1_ii,0.0169,g/km,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-4 tyre wear TSP, LCV (N1-II, III) -- the source groups II and III into one row, hence the identical value"
tsp_tyre_g_per_km_n1_iii,0.0169,g/km,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-4 tyre wear TSP, LCV (N1-II, III) -- the source groups II and III into one row, hence the identical value"
tsp_brake_g_per_km_n1_i,0.0117,g/km,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-6 brake wear TSP, LCV (N1-I), quality code B"
tsp_brake_g_per_km_n1_ii,0.0155,g/km,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-6 brake wear TSP, LCV (N1-II), quality code B -- the brake table resolves all three N1 segments separately"
tsp_brake_g_per_km_n1_iii,0.0211,g/km,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-6 brake wear TSP, LCV (N1-III), quality code B -- the brake table resolves all three N1 segments separately"
tsp_road_g_per_km_n1_i,0.0150,g/km,"EMEP/EEA GB ch. 1.A.3.b.vii Tab. 3-8 road surface wear TSP, LCV (N1-I), quality code C-D (source calls these values highly uncertain)"
tsp_road_g_per_km_n1_ii,0.0210,g/km,"EMEP/EEA GB ch. 1.A.3.b.vii Tab. 3-8 road surface wear TSP, LCV (N1-II, III) -- source groups II and III; quality code C-D"
