str_idx,name,postal_cod,cell_id,total_sim,ama_b2b,ama_b2c,dhl_b2b,dhl_b2c,dpd_b2b,dpd_b2c,fxt_b2b,fxt_b2c,gls_b2b,gls_b2c,her_b2b,her_b2c,ups_b2b,ups_b2c,date,amazon_tag,amazon_typ,dhl_tag,dhl_type,dpd_tag,dpd_type,fedex_tag,fedex_type,gls_tag,gls_type,hermes_tag,hermes_typ,ups_tag,ups_type,total,wl_tag,geometry
0,Aegidienkirchhof,30159,8611.0,9,0,0,0,3,0,0,0,0,0,5,0,0,1,0,2025-05-12,0,0,3,0,0,0,0,0,5,0,0,0,0,1,9,9,POINT (550338.219166151 5802402.715881958)
0,Aegidienkirchhof,30159,8611.0,7,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2025-05-12,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7,7,POINT (550306.5324591172 5802386.120738771)
1,Alexanderstraße,30159,9181.0,19,0,0,1,2,0,0,4,2,0,1,0,0,8,1,2025-05-12,0,0,2,1,0,0,2,4,1,0,0,0,1,8,19,19,POINT (550728.0405526278 5802877.9287071)
1,Alexanderstraße,30159,9181.0,6,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2025-05-12,0,0,0,0,0,0,0,2,0,0,0,0,0,4,6,6,POINT (550755.2783881983 5802904.948309565)
2,Am Hohen Ufer,30159,8613.0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,2025-05-12,0,0,4,0,0,0,0,0,4,0,0,0,0,0,8,8,POINT (549683.5359903789 5802847.280743948)
2,Am Hohen Ufer,30159,8613.0,6,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2025-05-12,0,0,4,0,0,0,0,0,2,0,0,0,0,0,6,6,POINT (549706.3025088131 5802802.764638344)
2,Am Hohen Ufer,30159,8613.0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2025-05-12,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,4,POINT (549728.8182687805 5802758.121155582)
2,Am Hohen Ufer,30159,8613.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-05-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,POINT (549750.8794801424 5802713.251791925)
2,Am Hohen Ufer,30159,8613.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-05-12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,POINT (549768.938037901 5802667.732773113)
2,Am Hohen Ufer,30159,8607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (549842.7209477234 5802424.4877385935)
3,Am Klagesmarkt,30159,8622.0,7,0,0,0,4,0,0,1,0,0,0,0,0,1,1,2025-05-12,0,0,4,0,0,0,0,1,0,0,0,0,1,1,7,7,POINT (549461.3843032152 5803621.701787133)
3,Am Klagesmarkt,30159,8622.0,6,0,0,1,1,0,0,1,0,1,1,0,0,1,0,2025-05-12,0,0,1,1,0,0,0,1,1,1,0,0,0,1,6,6,POINT (549495.901152927 5803585.562962596)
3,Am Klagesmarkt,30159,8622.0,12,0,0,1,8,0,0,2,0,0,0,0,0,1,0,2025-05-12,0,0,8,1,0,0,0,2,0,0,0,0,0,1,12,12,POINT (549530.745913033 5803549.704773893)
3,Am Klagesmarkt,30159,8622.0,14,0,0,2,5,0,0,4,0,1,0,0,1,1,0,2025-05-12,0,0,5,2,0,0,0,4,0,1,1,0,0,1,14,14,POINT (549566.1166365213 5803514.368446145)
3,Am Klagesmarkt,30159,8623.0,8,0,2,0,4,0,0,0,0,0,0,0,0,2,0,2025-05-12,2,0,4,0,0,0,0,0,0,0,0,0,0,2,8,8,POINT (549600.6622639248 5803478.242359801)
3,Am Klagesmarkt,30159,8623.0,9,0,0,0,3,0,2,1,0,0,1,0,0,2,0,2025-05-12,0,0,3,0,2,0,0,1,1,0,0,0,0,2,9,9,POINT (549634.0905473513 5803441.070428632)
3,Am Klagesmarkt,30159,8623.0,19,0,0,0,4,0,0,6,0,1,0,0,0,8,0,2025-05-12,0,0,4,0,0,0,0,6,0,1,0,0,0,8,19,19,POINT (549666.4831518538 5803402.9821210615)
3,Am Klagesmarkt,30159,8623.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-05-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,POINT (549687.8038001364 5803376.653682365)
3,Am Klagesmarkt,30159,8628.0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2025-05-12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,3,POINT (549510.0522101753 5803656.824526014)
3,Am Klagesmarkt,30159,8622.0,10,0,0,3,3,0,0,0,0,1,2,0,0,1,0,2025-05-12,0,0,3,3,0,0,0,0,2,1,0,0,0,1,10,10,POINT (549545.6329942001 5803621.6960787345)
3,Am Klagesmarkt,30159,8622.0,13,0,0,1,6,0,0,1,0,0,3,0,0,2,0,2025-05-12,0,0,6,1,0,0,0,1,3,0,0,0,0,2,13,13,POINT (549581.2137782249 5803586.567631457)
3,Am Klagesmarkt,30159,8623.0,5,0,0,0,1,0,0,1,0,0,0,0,0,3,0,2025-05-12,0,0,1,0,0,0,0,1,0,0,0,0,0,3,5,5,POINT (549616.8286378979 5803551.473740496)
3,Am Klagesmarkt,30159,8623.0,7,0,0,0,5,0,0,1,0,0,0,0,0,1,0,2025-05-12,0,0,5,0,0,0,0,1,0,0,0,0,0,1,7,7,POINT (549652.4519997909 5803516.388471685)
3,Am Klagesmarkt,30159,8623.0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2025-05-12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,POINT (549688.075361684 5803481.303202877)
3,Am Klagesmarkt,30159,8623.0,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2025-05-12,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,4,POINT (549723.698723577 5803446.217934066)
3,Am Klagesmarkt,30159,8623.0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2025-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,POINT (549751.9070468018 5803418.435699308)
4,Am Markte,30159,8616.0,9,0,0,1,1,0,0,5,0,0,0,0,0,2,0,2025-05-12,0,0,1,1,0,0,0,5,0,0,0,0,0,2,9,9,POINT (550013.4850463973 5802636.715133358)
4,Am Markte,30159,8610.0,8,0,0,0,1,0,0,6,0,0,0,0,0,1,0,2025-05-12,0,0,1,0,0,0,0,6,0,0,0,0,0,1,8,8,POINT (550052.0153327254 5802605.158765167)
4,Am Markte,30159,8610.0,12,0,0,0,6,0,0,1,0,0,1,0,0,1,3,2025-05-12,0,0,6,0,0,0,0,1,1,0,0,0,3,1,12,12,POINT (550088.3670030312 5802598.88794107)
4,Am Markte,30159,8611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (550112.0871005646 5802620.292196254)
5,Am Marstall,30159,8613.0,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2025-05-12,0,0,4,0,0,0,0,0,1,0,0,0,0,0,5,5,POINT (549713.765687503 5802866.422500173)
5,Am Marstall,30159,8613.0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2025-05-12,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,3,POINT (549686.6053346798 5802852.952277288)
