'name';'lon';'lat';'url'
'Paket Shop DHL Call Shop Qasim';9.7242956;52.3850525;'https://www.paket.net/dhl/paketshop/seelze/list/call-shop-qasim/'
'Paket Shop von DHL Deutsche Post Geschäftspostannahme';9.7314938;52.3841068;'https://www.paket.net/dhl/paketshop/seelze/list/deutsche-post-geschaeftspostannahme/'
'DHL Paket Laden Habenicht GmbH & Co. KG';9.7259058;52.3873262;'https://www.paket.net/dhl/paketshop/seelze/list/habenicht-gmbh-und-co-kg/'
'Paketshop DHL FOTO-GENZ GmbH';9.7235855;52.3866527;'https://www.paket.net/dhl/paketshop/seelze/list/foto-genz-gmbh/'
'Paket Shop DHL Filiale Kiosk Tran';9.7209692;52.3845191;'https://www.paket.net/dhl/paketshop/seelze/herrenhausen/kiosk-tran/'
'Paket Shop DHL Filiale Kiosk Hussen';9.7328871;52.3818486;'https://www.paket.net/dhl/paketshop/seelze/list/kiosk-hussen/'
'DHL Paket Laden REWE Christophe Daguerre oHG';9.7334802;52.3879908;'https://www.paket.net/dhl/paketshop/seelze/list/rewe-christophe-daguerre-ohg/'
'Paket Shop DHL Laden An- und Verkauf Limarsat';9.721705;52.3893991;'https://www.paket.net/dhl/paketshop/seelze/herrenhausen/an-und-verkauf-limarsat/'
'DHL Paket Geschäft HR-Hotel';9.737171;52.3812987;'https://www.paket.net/dhl/paketshop/seelze/list/hr-hotel/'
'Paket Shop DHL Geschäft Nordstadt Kiosk';9.7209089;52.3905948;'https://www.paket.net/dhl/paketshop/seelze/hainholz/nordstadt-kiosk/'
'Paket Shop DHL Geschäft REWE Markt GmbH';9.7531004;52.3905909;'https://www.paket.net/dhl/paketshop/seelze/list/rewe-markt-gmbh/'
'Paket Shop DHL Geschäft CALLSHOP Jalal Kano';9.734415;52.3915546;'https://www.paket.net/dhl/paketshop/seelze/list/callshop-jalal-kano/'
'Paketshop DHL Stempel-Blitz & Copy-Druck';9.7352948;52.3927169;'https://www.paket.net/dhl/paketshop/seelze/list/stempel-blitz-und-copy-druck/'
'Paket Shop DHL Laden Kiosk';9.7287143;52.3947613;'https://www.paket.net/dhl/paketshop/seelze/list/kiosk/'
'DHL Paketshop Lotto Sarik';9.7452678;52.382768;'https://www.paket.net/dhl/paketshop/ronnenberg/list/lotto-sarik/'
'DHL Paketshop Lotto Hussein Khder';9.7409335;52.3929865;'https://www.paket.net/dhl/paketshop/seelze/list/lotto-hussein-khder/'
'DHL Paket Shop Änderungsschneiderei Aytekin';9.7467834;52.3824171;'https://www.paket.net/dhl/paketshop/ronnenberg/list/%C3%84nderungsschneiderei-aytekin/'
'DHL Paketshop Schuh- und Schlüsseldienst';9.7482191;52.3883018;'https://www.paket.net/dhl/paketshop/langenhagen-hannover/list/schuh-und-schluesseldienst/'
'Paketshop von DHL Vollgut Getränke Fachmarkt Waldhoff GmbH';9.7321972;52.3978716;'https://www.paket.net/dhl/paketshop/seelze/list/vollgut-getraenke-fachmarkt-waldhoff-gmbh/'
'Paket Shop DHL Laden Kiosk am Thielenplatz';9.7437006;52.374516;'https://www.paket.net/dhl/paketshop/ronnenberg/bult/kiosk-am-thielenplatz/'
'DHL Paketshop Adrian Fruth & Marco Winkler GbR';9.7082026;52.3751006;'https://www.paket.net/dhl/paketshop/seelze/limmer/adrian-fruth-und-marco-winkler-gbr/'
'DHL Paket Filiale Postfiliale im Einzelhandel';9.750519;52.3881395;'https://www.paket.net/dhl/paketshop/ronnenberg/list/postfiliale-im-einzelhandel/'
'Paketshop von DHL Lotto';9.7155731;52.397686;'https://www.paket.net/dhl/paketshop/seelze/hainholz/lotto/'
'Paketshop DHL REWE Ronny Bork OHG';9.7329842;52.3989985;'https://www.paket.net/dhl/paketshop/seelze/list/rewe-ronny-bork-ohg/'
'DHL Paket Laden Harmsen Zigarre & Whisky';9.7111483;52.3723051;'https://www.paket.net/dhl/paketshop/seelze/limmer/harmsen-zigarre-und-whisky/'
'Paketshop DHL Kiosk Hussein';9.7531109;52.3825559;'https://www.paket.net/dhl/paketshop/ronnenberg/list/kiosk-hussein/'
'Paketshop DHL Buchhandlung Baumgart';9.7080946;52.3731888;'https://www.paket.net/dhl/paketshop/seelze/limmer/buchhandlung-baumgart/'
'DHL Paket Geschäft FD Fössedruck';9.7108458;52.370892;'https://www.paket.net/dhl/paketshop/seelze/limmer/fd-foessedruck/'
