'name';'lon';'lat';'url'
'Hermes Paket Shop TabakLotto a.E.-Damm';9.7250065;52.3837286;'https://www.paket.net/hermes/paketshop/seelze/list/tabaklotto-a-e-damm/'
'Hermes Paket Laden Copy excellent';9.72878;52.38155;'https://www.paket.net/hermes/paketshop/seelze/list/copy-excellent/'
'Hermes Paket Shop Kiosk bei Koray';9.7342219;52.3895361;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-bei-koray/'
'Hermes Paket Filiale Lotto Kiosk';9.7211576;52.390623;'https://www.paket.net/hermes/paketshop/seelze/hainholz/lotto-kiosk/'
'Paket Shop Hermes Geschäft Kiosk Die Ecke';9.7311272;52.3911785;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-die-ecke/'
'Hermes Paket Geschäft Kiosk Lange Laube';9.7274235;52.3767474;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-lange-laube/'
'Paketshop Hermes ARAL Tankstelle';9.7400916;52.3833594;'https://www.paket.net/hermes/paketshop/ronnenberg/list/aral-tankstelle/'
'Hermes Paket Shop Der Dominicana';9.7381246;52.3900103;'https://www.paket.net/hermes/paketshop/seelze/list/der-dominicana/'
'Paketshop Hermes Kiosk Flacon';9.7230724;52.3756386;'https://www.paket.net/hermes/paketshop/seelze/limmer/kiosk-flacon/'
'Paketshop Hermes Kiosk Vahrenwald';9.7348075;52.393498;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-vahrenwald/'
'Hermes Paketshop VIP Kiosk';9.7334087;52.3747921;'https://www.paket.net/hermes/paketshop/seelze/list/vip-kiosk/'
'Paket Shop Hermes Geschäft Toto Lotto Vossstr';9.742921;52.3896542;'https://www.paket.net/hermes/paketshop/ronnenberg/list/toto-lotto-vossstr/'
'Paket Shop von Hermes MyPhone Repair';9.7468269;52.3851437;'https://www.paket.net/hermes/paketshop/ronnenberg/list/myphone-repair/'
'Hermes Paket Laden Doreens Blumenladen';9.7362686;52.3716718;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/doreens-blumenladen/'
'Hermes Paketshop Kiosk Eichstrasse';9.7498212;52.3819216;'https://www.paket.net/hermes/paketshop/ronnenberg/list/kiosk-eichstrasse/'
'Paket Shop Hermes Laden Spaet Kauf Kiosk';9.7267827;52.3699593;'https://www.paket.net/hermes/paketshop/seelze/limmer/spaet-kauf-kiosk/'
'Hermes Paketshop Toto Lotto Zengi';9.7466121;52.3932742;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/list/toto-lotto-zengi/'
