'name';'lon';'lat';'url'
'Paketshop von GLS Vodafone DSL, Kabel & TV-Shop Hannover';9.72527;52.38428;'https://www.paket.net/gls/paketshop/seelze/list/vodafone-dsl-kabel-und-tv-shop-hannover/'
'GLS Paket Shop Bella''s Reinigungsservice';9.72834;52.37944;'https://www.paket.net/gls/paketshop/seelze/list/bellas-reinigungsservice/'
'Paket Shop von GLS Nana Afro Accessoires';9.73476;52.38887;'https://www.paket.net/gls/paketshop/seelze/list/nana-afro-accessoires/'
'Paket Shop GLS Sunnys Hair and More';9.73431;52.39022;'https://www.paket.net/gls/paketshop/seelze/list/sunnys-hair-and-more/'
'GLS Paket Geschäft COPAX';9.72428;52.37693;'https://www.paket.net/gls/paketshop/seelze/limmer/copax/'
'Paket Shop GLS Telefon-Shop';9.72211;52.39182;'https://www.paket.net/gls/paketshop/seelze/hainholz/telefon-shop/'
'GLS Paket Shop Senesy Repair Center';9.73574;52.39146;'https://www.paket.net/gls/paketshop/seelze/list/senesy-repair-center/'
'Paketshop GLS Telepoint Handyshop';9.73349;52.37492;'https://www.paket.net/gls/paketshop/seelze/list/telepoint-handyshop/'
'GLS Paket Shop Vodafone DSL, Kabel & TV-Shop Hannover 2';9.74419;52.38039;'https://www.paket.net/gls/paketshop/ronnenberg/list/vodafone-dsl-kabel-und-tv-shop-hannover-2/'
'Paket Shop GLS Geschäft Schlüssel-Schnell-Dienst';9.72366;52.37313;'https://www.paket.net/gls/paketshop/seelze/limmer/schluessel-schnell-dienst/'
'GLS Paketshop Druckerpatronen Store';9.73583;52.39497;'https://www.paket.net/gls/paketshop/seelze/list/druckerpatronen-store/'
'Paket Shop GLS Geschäft ViVi Nails & Spa';9.74795;52.38593;'https://www.paket.net/gls/paketshop/ronnenberg/list/vivi-nails-und-spa/'
'Paket Shop GLS Filiale Bulletcity.de';9.74951;52.3853;'https://www.paket.net/gls/paketshop/ronnenberg/list/bulletcity-de/'
'GLS Paket Shop Kiosk Öncül';9.74823;52.39076;'https://www.paket.net/gls/paketshop/langenhagen-hannover/list/kiosk-%C3%96ncuel/'
'Paketshop GLS Zein Dress Boutique';9.72616;52.3699;'https://www.paket.net/gls/paketshop/seelze/limmer/zein-dress-boutique/'
'Paket Shop GLS Filiale Vodafone DSL, Kabel & TV-Shop';9.72377;52.36965;'https://www.paket.net/gls/paketshop/seelze/limmer/vodafone-dsl-kabel-und-tv-shop/'
'GLS Paketshop Kiosk Röselerstraße';9.73803;52.37107;'https://www.paket.net/gls/paketshop/ronnenberg/bult/kiosk-roeselerstrasse/'
'Paketshop GLS Euro Cent';9.71318;52.37135;'https://www.paket.net/gls/paketshop/seelze/limmer/euro-cent/'
'Paket Shop GLS Filiale Tele Baba';9.70446;52.37437;'https://www.paket.net/gls/paketshop/seelze/limmer/tele-baba/'
'Paketshop GLS TDO Solutions';9.75406;52.39078;'https://www.paket.net/gls/paketshop/langenhagen-hannover/list/tdo-solutions/'
'GLS Paket Shop Mini Markt Yasar';9.70822;52.36735;'https://www.paket.net/gls/paketshop/seelze/limmer/mini-markt-yasar/'
'GLS Paket Laden Kiosk / Callshop';9.71657;52.36335;'https://www.paket.net/gls/paketshop/seelze/bornum/kiosk-callshop/'
'Paket Shop GLS Laden Friseurbedarf Klemm GmbH';9.69328;52.3762;'https://www.paket.net/gls/paketshop/seelze/limmer/friseurbedarf-klemm-gmbh/'
'Paket Shop GLS Filiale Autoschilder Hannover';9.74656;52.36489;'https://www.paket.net/gls/paketshop/ronnenberg/bult/autoschilder-hannover/'
'GLS Paket Filiale Lorina Kiosk';9.75071;52.36053;'https://www.paket.net/gls/paketshop/ronnenberg/bult/lorina-kiosk/'
'GLS Paketshop Änderungsschneiderei Shirin';9.70957;52.41331;'https://www.paket.net/gls/paketshop/seelze/hainholz/%C3%84nderungsschneiderei-shirin/'
'Paketshop von GLS Star Afro Center';9.75021;52.41175;'https://www.paket.net/gls/paketshop/langenhagen-hannover/vahrenwald/star-afro-center/'
'GLS Paket Geschäft Schuhreperatur in feinster Qualität';9.7525;52.35789;'https://www.paket.net/gls/paketshop/ronnenberg/bult/schuhreperatur-in-feinster-qualitaet/'
'Paket Shop GLS Laden ReDiKo Repro Digital Kopier Service GmbH';9.77448;52.3987;'https://www.paket.net/gls/paketshop/langenhagen-hannover/list/rediko-repro-digital-kopier-service-gmbh/'
'Paket Shop GLS Happy Kiosk';9.7228;52.3518;'https://www.paket.net/gls/paketshop/seelze/ricklingen/happy-kiosk/'
'Paketshop GLS Fachhandel für Gewürze, Därme';9.77793;52.36759;'https://www.paket.net/gls/paketshop/langenhagen-hannover/bult/fachhandel-fuer-gewuerze-daerme/'
'GLS Paket Filiale Kiosk Alt Ledeburger';9.68532;52.41097;'https://www.paket.net/gls/paketshop/seelze/leinhausen/kiosk-alt-ledeburger/'
