PLZ;2019;2020;2021
31515;9.885;12.225;11.917
31319;6.280;7.688;7.570
31275;11.328;14.292;13.793
31311;5.899;7.295;7.182
31303;7.641;9.263;9.120
30165;5.052;6.247;6.213
31535;11.232;14.031;13.676
30823;5.286;6.603;6.501
30827;4.216;5.214;5.133
30826;4.402;5.444;5.254
30890;7.763;9.506;9.453
30926;8.777;10.855;10.903
30974;3.296;3.995;3.933
30952;5.910;7.457;7.196
31832;7.990;9.783;9.536
30989;3.421;4.317;4.250
30966;4.910;6.072;5.978
30982;3.618;4.429;4.317
30880;11.826;14.625;14.256
30457;4.531;5.659;5.628
30459;4.378;5.360;5.330
30451;3.120;3.897;3.837
30449;3.879;4.797;4.676
30169;2.107;2.605;2.591
30159;2.408;3.008;2.932
30167;3.184;3.937;3.838
30455;4.670;5.834;5.687
30453;4.766;5.954;5.921
30855;6.086;7.378;7.337
30669;16;20;20
30853;3.116;3.778;3.757
30851;3.356;4.193;4.087
30419;9.655;12.181;11.755
30179;4.268;5.331;5.145
30163;5.031;6.284;6.125
30177;4.032;4.936;4.909
30657;3.447;4.306;4.239
30161;5.058;6.382;6.221
30175;1.910;2.386;2.349
30625;4.111;5.134;4.955
30655;4.722;5.898;5.865
30627;3.449;4.309;4.242
30173;4.794;5.811;5.837
30659;3.748;4.681;4.517
30629;4.282;5.296;5.266
30171;4.737;5.801;5.654
30519;7.099;8.605;8.558
30521;7;9;9
30539;5.199;6.429;6.458
30559;5.846;7.158;7.047
30900;7.596;9.488;9.157
30916;6.527;7.991;7.947
30938;6.537;7.924;7.959
