,osm_id,code,fclass,name,geometry
0,5790215,7203,residential,,"POLYGON ((527164.9592067096 5798153.641096148, 527151.9395564721 5798198.754418418, 527181.2101004316 5798218.237254094, 527164.9592067096 5798153.641096148))"
1,24402200,7204,industrial,,"POLYGON ((531955.418955894 5794359.500515425, 532055.263845673 5794582.122775522, 532067.1460856457 5794611.031340779, 532054.340881329 5794653.917235051, 532053.7693820697 5794657.917888106, 532056.1129058467 5794661.414673558, 532061.365970909 5794663.150634887, 532200.429067947 5794521.7671735, 532148.5731941649 5794468.660679965, 532138.5248592336 5794452.422094207, 532161.5565031469 5794438.412177659, 532178.98644142 5794412.319402289, 532154.8230299014 5794365.52230039, 532152.3399590859 5794358.30940363, 532147.8462812072 5794349.870986647, 532119.5582922377 5794345.771532324, 532150.3186847924 5794214.172593935, 532122.5786568593 5794168.698303629, 532148.9625406185 5794148.025069599, 532138.3567389721 5794132.4613865875, 532054.7237920756 5794191.527178666, 532043.36576068 5794236.157700483, 532061.3471370708 5794263.7932665525, 532020.7237482282 5794292.005140175, 531969.3573158522 5794326.955195328, 531979.5225844185 5794341.058523653, 531955.418955894 5794359.500515425))"
2,24402235,7212,retail,Fußgängerzone Marktstraße,"POLYGON ((531277.794937076 5794844.6834004745, 531287.462154906 5794865.422711477, 531292.1238192971 5794874.406444318, 531301.5502687328 5794893.308928147, 531312.5979923247 5794888.796216205, 531305.7552918276 5794863.536489672, 531313.1452796347 5794851.959590732, 531352.8412865426 5794843.857972125, 531356.5744432787 5794856.228451949, 531402.1393117474 5794852.758395124, 531424.8476371941 5794899.631524572, 531451.0452141467 5794878.230413148, 531435.1362332215 5794851.577969569, 531522.8109661308 5794796.287266445, 531547.9677020477 5794806.670184804, 531581.0402581549 5794772.3996279575, 531558.0381848048 5794749.216363178, 531703.4651020287 5794723.886076201, 531694.2429749465 5794677.587630586, 531566.8345109773 5794718.305545975, 531522.3940143693 5794731.291627195, 531493.3470576373 5794751.306034786, 531512.9635980859 5794770.785600107, 531433.4798832672 5794806.496138412, 531390.0212774413 5794806.79806034, 531381.0098389965 5794775.19533164, 531364.9508425111 5794772.045529311, 531356.7992721474 5794789.690791486, 531378.2277879943 5794820.248928788, 531297.2248549716 5794829.133914835, 531277.794937076 5794844.6834004745))"
3,27045207,7203,residential,,"POLYGON ((532941.9248320679 5793636.387355941, 532987.9730788309 5793693.145108146, 532988.2657002411 5793712.646096229, 533108.5317988449 5793942.344879997, 533112.8875331383 5793950.827747219, 533150.1963924303 5794023.545976992, 533252.2795210741 5793951.4194780635, 533278.2126081818 5793998.534259669, 533253.42409644 5794012.371458885, 533318.0575130894 5794130.624551546, 533406.9790559673 5794060.425767211, 533483.5981788583 5794209.740446976, 533525.9299024058 5794223.575780984, 533610.2522331774 5794135.930387677, 533761.0102806529 5794227.947018672, 533784.1268704144 5794212.332321415, 533916.3332355997 5794303.882058924, 533920.4984189934 5794306.101952032, 533917.9566695673 5794325.672571224, 533938.4715550207 5794348.271404826, 533960.5384836376 5794362.327204234, 533971.6562521935 5794318.433384679, 534046.6088681833 5794344.399632954, 534046.9400567496 5794376.481437525, 534032.5490905176 5794372.778295124, 534022.3667442992 5794402.585242774, 534058.6768307706 5794420.921993113, 534066.4279586617 5794430.196655986, 534040.9715850563 5794519.129661169, 534069.4827180883 5794525.132647083, 534018.2806796958 5794592.809592308, 534035.8594796123 5794600.894998906, 534044.4059854987 5794604.557859794, 534024.3652425349 5794643.017496994, 534079.5094443804 5794658.180631934, 534065.8555389207 5794695.037945887, 534042.6849058011 5794730.550495868, 534067.9639198234 5794747.231800878, 534068.0433780513 5794759.434588283, 534216.4730467215 5794845.96566801, 534248.7639092855 5794753.065403158, 534351.5374352469 5794781.8767884625, 534421.6066433309 5794558.2527725315, 534333.4580951477 5794532.12225583, 534308.2090572653 5794518.943641872, 534313.3378740713 5794474.686368443, 534297.6707716727 5794472.163771049, 534300.4504883313 5794453.885280783, 534346.2988860025 5794455.649997377, 534349.1130844748 5794398.128833431, 534373.4998487487 5794396.140612053, 534349.8876228501 5794321.094376107, 534312.8028201957 5794309.279465472, 534323.3909182252 5794279.264577403, 534276.1825955987 5794257.034945042, 534309.2950289779 5794203.628441753, 534254.8985978946 5794187.188809869, 534238.151764589 5794228.128684888, 534224.0805618514 5794235.316892363, 534207.9778611077 5794285.716117104, 534190.7831419205 5794280.146630582, 534184.7718522244 5794298.336062885, 534111.6638373631 5794263.993512518, 534108.7408247247 5794278.4224546645, 534067.4027612578 5794260.228633144, 534058.1048328964 5794287.316406425, 534003.8749302834 5794265.530391474, 533954.714508192 5794238.36280008, 533927.4525847489 5794211.079145829, 533909.6016563589 5794185.784583878, 533875.0665016526 5794167.850450404, 533916.5128180028 5794018.560371046, 533868.2756637367 5793997.5511876, 533861.5842379183 5793986.749108805, 533864.7891483142 5793972.900375527, 533904.2710781485 5793851.627373198, 533919.1350692668 5793819.460851507, 534032.8525621032 5793871.532507736, 533985.9331365401 5793793.680274184, 533874.8498576127 5793743.040449452, 533661.6201302699 5793664.509589174, 533646.5879829254 5793665.4749972215, 533519.6220330165 5793507.017548977, 533356.1261096365 5793543.874381545, 533208.348320731 5793279.269047328, 533170.4676506048 5793204.622354124, 533155.76318464 5793205.357881503, 533181.8506131317 5793276.944201112, 533200.3419767447 5793346.021379547, 533217.0081626314 5793401.415907853, 533237.2923645999 5793444.143230039, 533222.503014587 5793451.518553324, 533181.0720476848 5793476.111627656, 533153.4441401352 5793501.075753129, 533139.7141722273 5793515.288099876, 533133.117907595 5793523.519536822, 533132.0082124589 5793533.378404465, 533071.4630178164 5793547.3550012885, 533018.8779946817 5793573.554361968, 532941.9248320679 5793636.387355941))"
4,27045482,7203,residential,,"POLYGON ((531377.8459696958 5795470.343312968, 531383.8908849845 5795511.504321992, 531397.1496327638 5795568.639688457, 531469.3783311085 5795787.749068499, 531649.7266237482 5795754.108720062, 531678.6600570477 5795783.904400433, 531728.1373805001 5795772.909862573, 531733.2504703687 5795798.370466037, 531778.3537990352 5795779.517548482, 531832.1787113203 5795758.307535359, 531842.6596979565 5795664.939889595, 532121.2382956092 5795608.292216528, 532158.4105082311 5795682.337017815, 532224.970190094 5795679.411888143, 532605.945563089 5795668.677142516, 532574.2158834359 5795588.102094099, 532664.5031826188 5795565.606849254, 532666.3541969326 5795573.338641607, 532803.8192233879 5795540.991710093, 532752.2359069816 5795435.022687223, 532709.3776477078 5795342.426588169, 533058.676042297 5795285.889075609, 533112.3052913949 5795277.205286778, 533127.4992318721 5795274.748871853, 533221.6666323445 5795259.508780579, 533209.649433538 5795215.413151787, 533208.5681891959 5795212.958759378, 533191.3349659046 5795173.8891830295, 533181.7981767713 5795154.292618194, 533177.8839962522 5795146.235313343, 533137.5891079168 5795087.000251911, 533025.9864666661 5794957.10024174, 532930.4395541636 5794846.152696414, 532878.7919941659 5794776.755337589, 532833.3688533553 5794707.344312474, 532999.991629074 5794619.691562461, 532930.2624417862 5794535.301110351, 532851.7443610267 5794436.00366604, 532808.1228880354 5794404.857769368, 532751.9227208361 5794388.556212143, 532696.4678002312 5794388.388933072, 532674.8054332983 5794395.130832769, 532457.7229286399 5794560.8703090865, 532460.119148068 5794580.173757195, 532435.1032214416 5794581.677854422, 532374.6618283986 5794635.139911673, 532378.0176186896 5794672.458134181, 532317.9543037348 5794678.838688433, 532327.3351809069 5794728.120426638, 532302.6994321636 5794733.131495844, 532274.9755956267 5794747.39928063, 532253.8797736549 5794764.825019287, 532296.1213181348 5794966.29831123, 532268.1823465062 5794970.909744649, 532178.8638321817 5795021.248971735, 532172.1287296846 5794963.442095541, 532135.7692027682 5794982.659840834, 532156.2494118569 5795022.903590704, 532170.2176801906 5795014.996980312, 532177.4414705815 5795035.477448599, 532157.5468867344 5795046.682405178, 532172.9629745899 5795073.990289961, 532093.8465956487 5795123.45205489, 532083.3270694545 5795105.408525228, 532040.7485796227 5795131.227122157, 532031.3461520548 5795116.483433568, 532020.8961690016 5795123.423283244, 531971.5662284751 5795117.920143398, 531971.8754508907 5795113.339372362, 531935.3082654186 5795109.087205822, 531931.0804503169 5795162.907445954, 531898.8775438914 5795159.684866639, 531818.2130714484 5795175.993770434, 531802.4322352743 5795178.595031912, 531794.1724851481 5795175.838884161, 531778.0013145927 5795164.934104468, 531763.2029284617 5795152.603313869, 531681.1930586344 5795211.808100337, 531538.8335272259 5795344.11948907, 531377.8459696958 5795470.343312968))"
5,27529404,7203,residential,,"POLYGON ((535184.8530111253 5791421.973585739, 535188.4025857906 5791585.6886473745, 535208.8266843176 5791598.870554217, 535440.963242519 5791502.122186012, 535504.498856212 5791478.1403666865, 535511.879995312 5791488.860599858, 535542.981887617 5791534.389204031, 535571.4044791486 5791621.2327813655, 535555.3531384887 5791656.7117321715, 535552.8616093738 5791672.978269264, 535565.5543034403 5791696.495187861, 535563.4259535908 5791700.217289964, 535554.7040799103 5791716.583602035, 535587.5069881174 5791735.985081969, 535614.6291995381 5791787.125022564, 535616.1372538505 5791792.786510827, 535624.8541593304 5791778.066512442, 535628.0923514641 5791667.713665021, 535629.77335908 5791566.092497976, 535825.7319423192 5791524.306220162, 535824.0828961986 5791581.42338408, 535823.9465291449 5791586.116415983, 535861.2852719827 5791585.9867540095, 535873.4969891572 5791583.4725273475, 535960.5103487432 5791554.272224915, 535930.6434661757 5791464.234589915, 535929.8912448841 5791443.806795515, 536150.5217434012 5791375.416747781, 536203.5284728175 5791371.689093171, 536203.3099423031 5791372.644094408, 536234.2503575713 5791378.009763879, 536252.6237010529 5791381.20338753, 536279.9481280303 5791386.476085056, 536278.4971555889 5791396.365154, 536283.0219711531 5791397.199242584, 536282.8343634292 5791478.531291338, 536304.592026808 5791481.69434137, 536290.4149468759 5791493.458771004, 536290.2328294222 5791555.436361339, 536253.2683601542 5791550.081753394, 536253.6821373575 5791680.649880012, 536255.3590308221 5791680.873523144, 536256.0480894129 5791881.78736162, 536410.8640775068 5791902.902982578, 536432.8804225089 5791754.091002363, 536507.5096040766 5791764.67491874, 536609.029105446 5791783.490098605, 536614.9875279552 5791739.041059873, 536619.5356173313 5791463.161497036, 536630.0583334705 5791452.9393021455, 536705.7488172663 5791474.623945484, 536733.8415082933 5791414.955965219, 536678.3999214917 5791399.205229519, 536688.1927348243 5791375.195983715, 536704.8802441065 5791334.2971801665, 536678.278908535 5791331.830566689, 536667.7775157543 5791330.85166762, 536658.719982598 5791352.330295331, 536634.2758068697 5791350.680793314, 536538.4190532523 5791335.422025334, 536499.9171580111 5791328.307870903, 536454.2532958504 5791323.54382222, 536406.8728004149 5791373.026922169, 536403.2478477075 5791372.3105803095, 536300.5068176173 5791352.2560920585, 536280.4558659951 5791385.16726485, 536254.5484062465 5791380.216409271, 536303.6431956354 5791295.928595404, 536297.894368678 5791276.843324567, 536300.2010259652 5791273.100595503, 536400.9915138248 5791109.751183969, 536309.523177307 5791043.529025633, 536182.3371721634 5791251.925343567, 536185.4444239906 5791264.650868747, 536176.9089239668 5791265.42263782, 536175.6317766026 5791260.908364684, 536170.6540115097 5791261.33911505, 536165.089099146 5791261.810067705, 536162.3712456969 5791266.740040707, 536159.5442772968 5791266.997441809, 536054.0499259376 5791147.797391685, 536034.2661315313 5791117.965132071, 536033.4072743267 5791035.446472519, 536155.4978671503 5790932.023901459, 536088.2309979143 5790883.324159096, 535837.0664569547 5791033.84123726, 535184.8530111253 5791421.973585739))"
6,28475692,7203,residential,,"POLYGON ((532714.7875110218 5804201.108151628, 532715.1051868029 5804242.400363849, 532845.5052331534 5804230.221003863, 532863.2387817686 5804228.570744661, 532860.0971975375 5804254.667548807, 532848.1832573419 5804258.281002026, 532820.0726543515 5804266.81424651, 532841.7327580701 5804314.166489983, 532849.4014230837 5804364.350898687, 532865.7241515974 5804395.549811939, 532934.3480339377 5804375.863996056, 532942.3235577504 5804365.80618007, 532989.8652529316 5804363.199133766, 532988.3041762834 5804282.343661239, 532988.8481838447 5804251.947005386, 533032.8784687634 5804251.474774301, 533041.8210125037 5804207.930993144, 533048.5973272405 5804178.888745603, 533050.244303479 5804171.803062822, 533155.8730233002 5804178.876008138, 533155.0104072547 5804186.701086053, 533158.6250295999 5804228.0266967425, 533160.3564344947 5804243.789125599, 533194.5380836645 5804241.394389922, 533199.7059124818 5804241.073293358, 533194.0589837468 5804193.34909844, 533193.7117955929 5804183.268937115, 533281.7552579001 5804189.08032248, 533321.3899818554 5804192.563133997, 533319.7393772319 5804187.05698889, 533293.8891216223 5804061.45435789, 533274.1317899926 5804062.33300053, 533262.2452565001 5804061.774361092, 533244.7364154325 5803867.774888875, 533071.5006961863 5803904.149584277, 532990.7535220743 5803920.926942552, 532934.4265597612 5803930.783322237, 532942.2328043646 5803990.879730227, 532943.7149123164 5804002.313393096, 532970.3236333757 5803995.728501263, 532970.3918207793 5804011.969141182, 532970.4532488872 5804027.186382189, 532944.8335986396 5804032.454204956, 532911.9356382439 5804122.600752327, 532871.66858339 5804124.00020244, 532874.200655383 5804167.787743216, 532876.1830936808 5804202.150085733, 532714.7875110218 5804201.108151628))"
7,28477971,7203,residential,,"POLYGON ((534459.0953841015 5806297.2260822095, 534550.5898393114 5806381.494289791, 534502.873877048 5806455.208450567, 534525.36750156 5806467.324039587, 534606.4782193237 5806445.980747606, 534624.3842055085 5806501.913340123, 534720.8996177627 5806636.231425033, 534878.1194703024 5806621.170215998, 535100.8091268436 5806546.057786857, 535014.2134234579 5806395.573578236, 535161.932054547 5806356.63829425, 535213.5391927676 5806412.7696218025, 535247.850196265 5806426.474819059, 535326.0640050916 5806424.477505337, 535364.5052145767 5806424.764856074, 535382.0300558491 5806422.799663341, 535397.8681972413 5806418.886902804, 535447.6731063325 5806391.41453252, 535489.1528546204 5806363.7824781155, 535396.8866089967 5806231.025942336, 535392.010931769 5806164.527881039, 535422.7549533627 5806148.464347449, 535698.8982477058 5806059.781638793, 535617.5753036925 5805949.113879926, 535620.5052038381 5805946.632302726, 535623.7562279882 5805943.963952836, 535673.1834837465 5805899.03828876, 535612.746661139 5805875.54138514, 535562.1877316999 5805867.177855699, 535564.9907524209 5805829.54503781, 535432.6696752865 5805810.915020668, 535433.9118427678 5805755.584528695, 535373.8294747303 5805750.524795369, 535372.1748706417 5805763.950090936, 535190.9455549837 5805719.602518752, 535199.2807414114 5805653.922274767, 535212.5689398459 5805655.819366186, 535208.6327644058 5805604.011319464, 535153.6074103191 5805587.9671074515, 535173.630476656 5805514.861997792, 535238.1546306674 5805409.372398585, 535246.5971910032 5805364.9500171505, 535243.8972720832 5805334.352196106, 535192.8403826905 5805328.158053444, 535191.575425059 5805300.47376112, 535156.5238079223 5805301.680379175, 535151.0105963607 5805300.951335495, 535147.3537422635 5805262.293335808, 535114.5499594664 5805255.507400686, 535112.7908479136 5805297.007705773, 535010.1543360531 5805319.669070611, 535004.8481868203 5805306.094037532, 534987.1477264276 5805289.160563391, 534928.2709551721 5805279.2428302495, 534926.5377298336 5805311.566494941, 534978.3687189576 5805320.922441337, 534981.2778857921 5805327.105533269, 534950.5257396038 5805374.462153742, 534930.8991414482 5805464.956948569, 534718.6739300097 5805423.677316699, 534705.6450889538 5805492.940305892, 534734.5361068384 5805498.661421894, 534724.4687758471 5805542.605982944, 534844.3395011388 5805566.267698387, 534827.1604087221 5805642.030493117, 534794.0157352592 5805635.644699695, 534761.99303393 5805813.271778066, 534679.1685512932 5805806.869676925, 534666.708272001 5805871.932122376, 534756.0722675773 5805886.678344847, 534719.0426356829 5806057.907728877, 534634.2071285001 5806042.026054875, 534558.8395496234 5806029.326928901, 534552.1618630107 5806063.72946306, 534549.9385153481 5806075.15991624, 534502.8387219894 5806066.431117326, 534459.0953841015 5806297.2260822095))"
8,28637775,7203,residential,,"POLYGON ((538668.3606399575 5792881.153900184, 538707.4853606318 5792894.808324355, 538704.4075148064 5792905.418154026, 538698.9532270004 5793007.788315023, 538749.6521442832 5793014.592782484, 538747.7779451129 5793057.859134277, 538746.003360484 5793104.952711934, 538774.3753543057 5793104.730383949, 538798.412827131 5793109.223856952, 538801.3691598803 5793081.961431162, 538830.4729759078 5793080.6439572135, 538835.754625916 5793070.863531869, 538847.9704914998 5793072.772689308, 538867.1169603699 5793073.813158848, 538866.298124011 5793083.383946006, 538874.0841422386 5793083.9012667155, 538872.1293930465 5793111.260522171, 538855.2905670492 5793112.585214063, 538855.5788549525 5793121.897750095, 538829.7546752305 5793125.165195135, 538830.8958388935 5793155.285152213, 538796.6455721807 5793158.797996927, 538783.1939083217 5793156.1896121185, 538779.2072426568 5793220.874131208, 538836.4790547054 5793239.888978648, 538831.5556749016 5793255.311774024, 538835.7448675223 5793300.305414871, 538867.4608417581 5793291.93423984, 538893.9528806786 5793476.624097455, 538933.2814658335 5793453.352347127, 539103.8044908838 5793353.454234914, 539114.764593344 5793342.42874218, 539232.3988288627 5793274.018383147, 539243.4614579796 5793263.883857136, 539245.7969243581 5793246.383067491, 539242.2531214084 5793228.802201139, 539250.3799531892 5793221.592068003, 539277.1469847792 5793238.701253445, 539363.5181958079 5793086.241849341, 539328.6003374921 5793062.960569225, 539397.0942207437 5792927.033416788, 539446.3838573501 5792807.038251605, 539459.9010838384 5792761.373440347, 539379.2135754802 5792722.609817445, 539390.7747503201 5792685.216161625, 539377.0159407421 5792676.508109761, 539336.2139447881 5792741.5663586715, 539271.5716358805 5792695.791069668, 539223.1281892686 5792661.479939796, 539163.8414880281 5792618.852033362, 539150.3492550874 5792609.145629819, 539128.5207854513 5792620.919223845, 539119.7637017176 5792655.933017494, 539105.2474359882 5792697.174826713, 539078.9061532192 5792753.439805446, 539075.6511952752 5792760.455160173, 539072.6044966346 5792767.016105432, 539047.2382293774 5792750.931379571, 538805.2158527679 5792597.4018925205, 538668.3606399575 5792881.153900184))"
9,29495948,7212,retail,,"POLYGON ((534318.2362693719 5793340.7472646665, 534320.2684162926 5793343.7646642085, 534406.2466276677 5793347.688630007, 534411.2008798885 5793345.409500856, 534416.6366843871 5793338.628809308, 534424.1728809427 5793322.129903406, 534431.9558213806 5793312.317811076, 534433.7967157983 5793308.515363163, 534437.2710231541 5793301.320583731, 534461.7528390681 5793249.334326369, 534375.8553157299 5793211.027971339, 534318.2362693719 5793340.7472646665))"
