Year,DHL,Hermes,UPS,DPD,GLS,FedEx/TNT,Amazon
2014,44.404332129963905,16.245487364620935,12.707581227436823,12.63537906137184,7.2202166064981945,6.787003610108304,0.0
2015,45.05587781914147,15.823195186484206,12.622797515997572,12.4261250334537,7.3305198039079364,6.686864406491631,0.05462023452349167
2016,45.665549111865154,15.398847956326623,12.531476267907186,12.212879413638356,7.433926599605956,6.584334988222418,0.17298566243430172
2017,46.14651561868478,14.945178353778596,12.41061594290386,11.973622423787528,7.51628852880093,6.4675040829217325,0.54027504912258
2018,46.27727882811218,14.39737563541268,12.203489824302178,11.655018371524552,7.541482475692356,6.3074217069427,1.6179331580133471
2019,45.60772497818132,13.632743879347679,11.79852015739908,11.154063174011736,7.436042116007824,6.047980921019696,4.3229247740326695
2020,43.89788293897522,12.60896637608863,11.145703611456122,10.429638854295533,7.160647571605888,5.666251556662051,9.09090909091655
2021,42.0995726588281,11.621236202697341,10.495657350360617,9.720908270180793,6.870416371405974,5.291682396699921,13.900526749827238
2022,41.24579124579925,10.94276094276307,10.101010101012063,9.259259259261057,6.734006734008043,5.050505050506032,16.666666666650464
2023,41.46265117177148,10.328376536095806,9.878255014413545,8.906564938840829,6.77384754295836,4.873931437970465,17.77637335794952
2024,41.87927574048575,9.90888860850786,9.76267954919601,8.683479712705076,6.845366369000898,4.764715927450619,18.155594092653804
2025,42.331940218838184,9.578873262142153,9.688738517579594,8.516220675988428,6.922241796757839,4.684071371661221,18.27791415703258
2026,42.76459809704916,9.297390596313747,9.63200274514804,8.37663254083753,6.995495457623203,4.61725357843092,18.316626984597395
2027,43.165051519629806,9.047127532521698,9.583705569816656,8.253568032274003,7.063228781902466,4.558513338053627,18.32880522580174
2028,43.53435864723808,8.819544824270077,9.540484991436985,8.141995993853616,7.125672748228927,4.5053138501247085,18.332628944847603
2029,43.87653612666351,8.609697634552058,9.500857010418521,8.03922770424816,7.183522808792317,4.456329919954658,18.33382879537078
2030,44.19561441790393,8.414338767383832,9.464036490693697,7.943589456285652,7.237465489638381,4.41075015063211,18.33420522746239
2031,44.49498356782678,8.231149069825443,9.429532235249996,7.8539196468479915,7.28807551238181,4.3680166483966785,18.3343233194713
2032,44.77737401534552,8.05838123865321,9.396998137031996,7.769354734333802,7.335814977854686,4.327716530881376,18.334360365899396
2033,45.04497561754036,7.89467148863573,9.366172041679697,7.689224593379122,7.381054250494214,4.289530020671781,18.334371987599102
2034,45.29956032821784,7.738928256350669,9.336846734695046,7.612994128593492,7.4240929369577255,4.253201981791781,18.334375633393442
2035,45.54258026327012,7.5902608368517175,9.308853976736245,7.5402271179391525,7.465176539570302,4.21852448853292,18.33437677709954
2036,45.77524102842947,7.447930958004316,9.282054592564458,7.4705621253048555,7.504508876255659,4.185325283554761,18.33437713588648
2037,45.99855578793596,7.311318584919839,9.256331783587424,7.403695642340627,7.542261228471811,4.1534597243044145,18.334377248439925
2038,46.213385343144445,7.179897050861761,9.23158636721041,7.3393698781150745,7.5785791189950436,4.122804957924707,18.334377283748562
2039,46.420468210073324,7.053214547230222,9.20773326709723,7.277363687294182,7.613587397390117,4.093255596089858,18.334377294825078
2040,46.62044351875458,6.930880080382444,9.184698861294603,7.217485692819518,7.647394111475128,4.0647204369738965,18.334377298299845
2041,46.81386869939204,6.812552641324434,9.162418940579906,7.159568983721332,7.68009349731668,4.037119938275698,18.334377299389892
2042,47.00123332770975,6.697932732448693,9.140837112271484,7.103466967417191,7.711768319869934,4.010384240551107,18.334377299731848
2043,47.18297009886498,6.58675565319971,9.119903535746804,7.049050083189597,7.74249172817442,3.984451600985365,18.33437729983912
2044,47.35946362439869,6.478786118223932,9.099573909017439,6.996203167942264,7.7723287425197585,3.9592671380251354,18.334377299872777
2045,47.53105755711242,6.373813898636593,9.079808647998103,6.944823322757335,7.801337458938441,3.9347818146737676,18.334377299883332
2046,47.698060416188035,6.271650258484318,9.060572215519462,6.894818168677965,7.829570033968423,3.910951607275152,18.334377299886643
2047,47.860750390794706,6.1721250161385255,9.041832568014442,6.846104408372831,7.857073496724283,3.887736820067531,18.334377299887684
2048,48.0193793327171,6.0750841018105035,9.02356069562103,6.798606630633806,7.883890423868759,3.865101515460797,18.33437729988801
2049,48.17417609913896,5.980387512609692,9.00573023713918,6.7522563094558885,7.910059504725172,3.843013037042993,18.33437729988811
2050,48.32534937021861,5.887907588897629,8.988317155484728,6.706990960379021,7.935616017601103,3.8214416075307645,18.334377299888146
