Year,Actual_B2B,Type,B2B_Exp,B2B_Sigmoid,B2B_BoundedSigmoid
2009,47.0,Data,49.67026338820073,47.43519231486546,46.4390196378452
2010,45.666666666666664,Interpolated,47.050771673033715,45.904074861511425,45.59636204994513
2011,44.333333333333336,Interpolated,44.56942572915445,44.28089370561014,44.511254469391446
2012,43.0,Data,42.21894007670661,42.57136611968762,43.14819988675858
2013,41.0,Data,39.99241345473711,40.78329487750823,41.48840877057778
2014,39.0,Data,37.88330855840384,38.92653496330687,39.542111518441416
2015,37.0,Data,35.88543284479472,37.012857130803795,37.3583070548587
2016,35.0,Data,33.99292035100247,35.055705114508974,35.02599353392779
2017,33.0,Data,32.20021447107078,33.06985264311651,32.66274730220535
2018,32.0,Data,30.50205164124355,31.070976215415914,30.392439456895595
2019,30.0,Data,28.89344588561524,29.075168486731013,28.32038294774408
2020,25.0,Data,27.36967417680697,27.098423693008066,26.515876602297652
2021,23.0,Data,25.926262568685768,25.156129720808202,25.007425957678638
2022,24.0,Data,24.558973060411287,23.262600670696006,23.78903144641958
2023,23.0,Data,23.263791153241467,21.430679189893088,22.8319309725616
2024,,Forecast,22.036914063562737,19.67143024214591,22.096395012906804
2025,,Forecast,20.87473955753701,17.993938574329412,21.540601914098062
2026,,Forecast,19.773855374582848,16.405212350651006,21.125966095772284
2027,,Forecast,18.731029208637146,14.910186570893629,20.819579921688245
2028,,Forecast,17.74319921778125,13.51181294942449,20.59477792597102
2029,,Forecast,16.80746503436686,12.211218433748517,20.43069041452006
2030,,Forecast,15.921079249246542,11.00791255591634,20.31137314427222
2031,,Forecast,15.08143934510571,9.90002404002245,20.224849975311585
2032,,Forecast,14.28608005521149,8.884549006912456,20.162233015680094
2033,,Forecast,13.532666125143043,7.957596108512956,20.116982652652133
2034,,Forecast,12.818985456251031,7.114617404693783,20.084316560705965
2035,,Forecast,12.142942610714748,6.35061728756644,20.06075284377089
2036,,Forecast,11.502552659127096,5.660334924318197,20.043764406599525
2037,,Forecast,10.895935352543349,5.0383983332680735,20.03152128423173
2038,,Forecast,10.32130960188218,4.4794502509975604,20.0227004877053
2039,,Forecast,9.776988248470019,3.9782474010770863,20.01634667088291
2040,,Forecast,9.261373110374407,3.5297357026220757,20.011770548172272
2041,,Forecast,8.772950289982049,3.1291044533036865,20.00847509913313
2042,,Forecast,8.310285729043983,2.7718226876308107,20.00610209558479
2043,,Forecast,7.872020998137149,2.4536608424250637,20.00439342515558
2044,,Forecast,7.456869308179744,2.170700639092512,20.003163153465643
2045,,Forecast,7.063611732289775,1.9193357818480403,20.002277362225353
2046,,Forecast,6.691093626893841,1.6962657214645138,20.00163960876907
2047,,Forecast,6.338221241578107,1.4984843798746108,20.001180444753867
2048,,Forecast,6.003958507727707,1.3232653945543205,20.000849863479246
2049,,Forecast,5.687323996525673,1.1681451362943207,20.000611858891197
2050,,Forecast,5.38738803737977,1.0309044861548493,20.00044050656127
