year,linear,ci_lower_linear,ci_upper_linear,logistic,ci_lower_logistic,ci_upper_logistic,exponential,ci_lower_exponential,ci_upper_exponential,type,weeks_in_year
2000,1.701,1.701,1.701,1.701,1.701,1.701,1.701,1.701,1.701,Observed,52
2001,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,Observed,52
2002,1.765,1.765,1.765,1.765,1.765,1.765,1.765,1.765,1.765,Observed,52
2003,1.802,1.802,1.802,1.802,1.802,1.802,1.802,1.802,1.802,Observed,52
2004,1.849,1.849,1.849,1.849,1.849,1.849,1.849,1.849,1.849,Observed,53
2005,1.952,1.952,1.952,1.952,1.952,1.952,1.952,1.952,1.952,Observed,52
2006,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,Observed,52
2007,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,2.235,Observed,52
2008,2.221,2.221,2.221,2.221,2.221,2.221,2.221,2.221,2.221,Observed,52
2009,2.179,2.179,2.179,2.179,2.179,2.179,2.179,2.179,2.179,Observed,53
2010,2.333,2.333,2.333,2.333,2.333,2.333,2.333,2.333,2.333,Observed,52
2011,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,Observed,52
2012,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,Observed,52
2013,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,Observed,52
2014,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,Observed,52
2015,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,Observed,53
2016,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,Observed,52
2017,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,Observed,52
2018,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,Observed,52
2019,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,Observed,52
2020,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,Observed,53
2021,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,Observed,52
2022,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,Observed,52
2023,4.175,4.175,4.175,4.175,4.175,4.175,4.175,4.175,4.175,Observed,52
2024,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,Observed,52
2025,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,Observed,52
2026,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,Observed,53
2027,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,Observed,52
2028,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,Observed,52
2029,4.811199507389148,4.292639411676973,5.329759603101323,4.824094454052479,4.56669582211146,5.081493085993498,5.172718019978972,4.97036274527152,5.375073294686424,Forecast,52
2030,4.929619704433492,4.401125309303722,5.458114099563262,4.916467758991273,4.6145526722936,5.2183828456889465,5.37831525638815,5.15411259492992,5.602517917846379,Forecast,52
2031,5.048039901477807,4.507651541935812,5.588428261019803,5.003967613239307,4.654641949072436,5.353293277406178,5.5920842553901915,5.344197022752944,5.839971488027439,Forecast,52
2032,5.166460098522151,4.612344286439746,5.720575910604556,5.086637449664542,4.687742102747491,5.485532796581593,5.8143498156304485,5.540886174455136,6.087813456805761,Forecast,53
