year,DHL,Hermes,UPS,DPD,GLS,FedEx/TNT,Amazon
2014,0.2385,0.085,0.88,0.65,0.2385,0.95,
2015,0.2281,0.0815,0.88,0.65,0.2281,0.95,
2016,0.2178,0.0778,0.88,0.3811,0.2178,0.95,
2017,0.2074,0.0741,0.88,0.363,0.2074,0.95,
2018,0.197,0.0704,0.88,0.3448,0.197,0.95,0.01
2019,0.1867,0.0667,0.88,0.65,0.1867,0.95,0.01
2020,0.1762,0.0628,0.9161,0.28,0.1744,0.95,0.01
2021,0.1659,0.0593,0.88,0.2889,0.1659,0.95,0.01
2022,0.1556,0.0556,0.88,0.2722,0.1556,0.95,0.01
2023,0.1452,0.0519,0.88,0.2541,0.1452,0.95,0.01
2024,0.1348,0.0481,0.88,0.2359,0.1348,0.95,0.01
2025,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2026,0.1239,0.0442,0.88,0.2072,0.124,0.95,0.01
2027,0.1241,0.0441,0.88,0.2176,0.123,0.9503,0.01
2028,0.1244,0.0444,0.88,0.2178,0.1252,0.95,0.01
2029,0.124,0.0444,0.88,0.2178,0.1244,0.95,0.01
2030,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2031,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2032,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2033,0.124,0.0437,0.8801,0.2175,0.1216,0.968,0.01
2034,0.1242,0.01,0.8834,0.2172,0.0679,0.9535,0.01
2035,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2036,0.1235,0.0417,1.0,0.6553,0.1244,0.9507,0.01
2037,0.1243,0.0441,0.8806,0.2176,0.124,0.95,0.01
2038,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2039,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2040,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2041,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2042,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2043,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2044,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2045,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2046,0.1242,0.0419,0.88,0.2177,0.1244,0.95,0.01
2047,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2048,0.1244,0.0444,0.88,0.2178,0.1244,0.95,0.01
2049,0.1244,0.0444,0.88,0.65,0.1244,0.95,0.01
2050,0.1244,0.0443,0.8803,0.2177,0.114,0.9501,0.01
