'name';'lon';'lat';'url'
'DPD Paket Geschäft Vodafone DSL, Kabel& TV Store';9.7441686;52.3804296;'https://www.paket.net/dpd/paketshop/seelze/list/vodafone-dsl-kabelund-tv-store/'
'Paket Shop von DPD Serviceladen Nassr Lotto Toto';9.72471;52.38508;'https://www.paket.net/dpd/paketshop/seelze/list/serviceladen-nassr-lotto-toto/'
'Paket Shop DPD Nordstadt Kiosk';9.7230836;52.3870208;'https://www.paket.net/dpd/paketshop/seelze/list/nordstadt-kiosk/'
'Paketshop DPD Bella´s Reinigungsservice';9.728319;52.379449;'https://www.paket.net/dpd/paketshop/seelze/list/bellas-reinigungsservice/'
'Paketshop DPD Engels Kiosk';9.7223142;52.389023;'https://www.paket.net/dpd/paketshop/seelze/list/engels-kiosk/'
'Paketshop von DPD Buchhandlung Witte';9.72216;52.3773;'https://www.paket.net/dpd/paketshop/seelze/limmer/buchhandlung-witte/'
'Paket Shop DPD Toto-Lotto Schreibwaren-Tabakwaren';9.73411;52.39112;'https://www.paket.net/dpd/paketshop/seelze/list/toto-lotto-schreibwaren-tabakwaren/'
'DPD Paket Shop Yasin Market';9.720161;52.391399;'https://www.paket.net/dpd/paketshop/seelze/hainholz/yasin-market/'
'Paket Shop von DPD Senesy Repair Center';9.73576;52.39144;'https://www.paket.net/dpd/paketshop/seelze/list/senesy-repair-center/'
'Paket Shop DPD Laden Saygash GmbH';9.7412813;52.3880194;'https://www.paket.net/dpd/paketshop/ronnenberg/list/saygash-gmbh/'
'DPD Paketshop Bistro - Cafe & Kiosk Candy';9.7416597;52.3912755;'https://www.paket.net/dpd/paketshop/langenhagen-hannover/list/bistro-cafe-und-kiosk-candy/'
'DPD Paketshop Kiosk Babel Shop';9.724396;52.372817;'https://www.paket.net/dpd/paketshop/seelze/limmer/kiosk-babel-shop/'
'DPD Paket Geschäft Shop 55';9.74621;52.38127;'https://www.paket.net/dpd/paketshop/ronnenberg/list/shop-55/'
'DPD Paketshop Bulletcity';9.7494598;52.3852942;'https://www.paket.net/dpd/paketshop/ronnenberg/list/bulletcity/'
'Paket Shop DPD Kiosk Öncül';9.7481;52.39073;'https://www.paket.net/dpd/paketshop/langenhagen-hannover/list/kiosk-oncul/'
'DPD Paket Laden SOULFLOVVER';9.7504236;52.3788626;'https://www.paket.net/dpd/paketshop/ronnenberg/list/soulflovver/'
'DPD Paketshop Limmer Phone';9.70632;52.373676;'https://www.paket.net/dpd/paketshop/seelze/limmer/limmer-phone/'
'Paket Shop von DPD Druckexpress Hannover';9.747991;52.373486;'https://www.paket.net/dpd/paketshop/ronnenberg/bult/druckexpress-hannover/'
'Paket Shop DPD Laden Frischmarkt';9.70328;52.37557;'https://www.paket.net/dpd/paketshop/seelze/limmer/frischmarkt/'
'Paketshop von DPD Kiosk Babel Shop';9.754074;52.39082;'https://www.paket.net/dpd/paketshop/langenhagen-hannover/list/kiosk-babel-shop/'
'Paket Shop DPD Filiale Tabakshop + KIOSK';9.719409;52.366733;'https://www.paket.net/dpd/paketshop/seelze/limmer/tabakshop-kiosk/'
'DPD Paket Shop Südstadt Kiosk';9.7504368;52.3691329;'https://www.paket.net/dpd/paketshop/ronnenberg/bult/sudstadt-kiosk/'
'Paket Shop DPD Laden Call Shop Kiosk SAM';9.7164175;52.3632732;'https://www.paket.net/dpd/paketshop/seelze/bornum/call-shop-kiosk-sam/'
'Paket Shop DPD Laden Autoschilder Hannover';9.746495;52.364845;'https://www.paket.net/dpd/paketshop/ronnenberg/bult/autoschilder-hannover/'
'Paket Shop DPD Filiale Lotto-Totto Kiosk';9.76375;52.3952;'https://www.paket.net/dpd/paketshop/langenhagen-hannover/list/lotto-totto-kiosk/'
'Paketshop DPD Heiko''s Modellbörse';9.75689;52.3649;'https://www.paket.net/dpd/paketshop/ronnenberg/bult/heiko-s-modellborse/'
'DPD Paket Filiale Lampenoutlet';9.764036;52.399759;'https://www.paket.net/dpd/paketshop/langenhagen-hannover/list/lampenoutlet/'
'Paket Shop DPD Geschäft Lorina Kiosk';9.7507546;52.3605356;'https://www.paket.net/dpd/paketshop/ronnenberg/bult/lorina-kiosk/'
'Paket Shop DPD Geschäft MAIL BOXES ETC. 0051';9.76904;52.398318;'https://www.paket.net/dpd/paketshop/langenhagen-hannover/list/mail-boxes-etc-0051/'
'Paket Shop DPD Albaraka An und Verkauf';9.749517;52.411309;'https://www.paket.net/dpd/paketshop/langenhagen-hannover/vahrenwald/albaraka-an-und-verkauf/'
'DPD Paket Filiale YBesler';9.69658;52.41305;'https://www.paket.net/dpd/paketshop/seelze/vinnhorst/ybesler/'
'Paket Shop DPD Geschäft Katahati exotic jewel wear';9.68594;52.36107;'https://www.paket.net/dpd/paketshop/seelze/badenstedt/katahati-exotic-jewel-wear/'
'Paket Shop von DPD Informations-Technik GRAF';9.674575;52.397181;'https://www.paket.net/dpd/paketshop/seelze/leinhausen/informations-technik-graf/'
