'name';'lon';'lat';'url'
'UPS Paket Filiale Vodafone Dsl Kabel und Tv - Shop';9.725316;52.384322;'https://www.paket.net/ups/paketshop/seelze/list/vodafone-dsl-kabel-und-tv-shop/'
'Paket Shop UPS Filiale Bella S Afro Beauty';9.728328;52.379409;'https://www.paket.net/ups/paketshop/seelze/list/bella-s-afro-beauty/'
'UPS Paketshop Mail Boxes Etc. 0143';9.734417;52.387721;'https://www.paket.net/ups/paketshop/seelze/list/mail-boxes-etc-0143/'
'UPS Paket Filiale Ehrmann Augenoptik';9.74572;52.38517;'https://www.paket.net/ups/paketshop/ronnenberg/list/ehrmann-augenoptik/'
'Paketshop von UPS Topclean Textilpflege GmbH & C';9.7506;52.37647;'https://www.paket.net/ups/paketshop/ronnenberg/bult/topclean-textilpflege-gmbh-und-c/'
'Paketshop UPS Druckexpress Hannover';9.74798;52.37344;'https://www.paket.net/ups/paketshop/ronnenberg/bult/druckexpress-hannover/'
'UPS Paket Geschäft Happy Kiosk Ii';9.704686;52.374234;'https://www.paket.net/ups/paketshop/seelze/limmer/happy-kiosk-ii/'
'Paket Shop UPS Laden Tdo Solutions';9.754032;52.390761;'https://www.paket.net/ups/paketshop/langenhagen-hannover/list/tdo-solutions/'
'Paket Shop von UPS Emk Brandschutz - Und Sicherheitstec';9.700625;52.375358;'https://www.paket.net/ups/paketshop/seelze/limmer/emk-brandschutz-und-sicherheitstec/'
'UPS Paket Laden Mail Boxes Etc. 0051';9.769058;52.398128;'https://www.paket.net/ups/paketshop/langenhagen-hannover/list/mail-boxes-etc-0051/'
'UPS Paketshop Geibel Kiosk';9.757877;52.36135;'https://www.paket.net/ups/paketshop/ronnenberg/bult/geibel-kiosk/'
'UPS Paketshop Al Baraka An und Verkauf';9.749732;52.411211;'https://www.paket.net/ups/paketshop/langenhagen-hannover/vahrenwald/al-baraka-an-und-verkauf/'
'UPS Paket Filiale Topclean Textilpflege GmbH und Co.k';9.77541;52.39875;'https://www.paket.net/ups/paketshop/langenhagen-hannover/list/topclean-textilpflege-gmbh-und-co-k/'
'Paketshop von UPS Yasar Elektronik GmbH';9.69658;52.41305;'https://www.paket.net/ups/paketshop/seelze/vinnhorst/yasar-elektronik-gmbh/'
'Paket Shop UPS Laden Kleefelder Druck - Center';9.784294;52.372603;'https://www.paket.net/ups/paketshop/langenhagen-hannover/kleefeld/kleefelder-druck-center/'
'Paket Shop UPS Planethandy';9.72419;52.3473;'https://www.paket.net/ups/paketshop/ronnenberg/ricklingen/planethandy/'
'Paket Shop UPS Esso - Station';9.66325;52.3767;'https://www.paket.net/ups/paketshop/seelze/ahlem-kreis-hannover/esso-station/'
'Paket Shop UPS Busse Augenoptik';9.77816;52.41346;'https://www.paket.net/ups/paketshop/langenhagen-hannover/bothfeld/busse-augenoptik/'
'Paket Shop UPS Laden Telefon Service Hannover';9.76183;52.34612;'https://www.paket.net/ups/paketshop/ronnenberg/waldhausen/telefon-service-hannover/'
'Paket Shop UPS Geschäft Kopier Center Döhren';9.764251;52.341455;'https://www.paket.net/ups/paketshop/ronnenberg/waldhausen/kopier-center-doehren/'
'UPS Paket Geschäft Mobilfunk Henkelmann Telekom';9.800404;52.407789;'https://www.paket.net/ups/paketshop/langenhagen-hannover/bothfeld/mobilfunk-henkelmann-telekom/'
'Paketshop von UPS Stichweh Annahmestelle und Änderun';9.81132;52.38906;'https://www.paket.net/ups/paketshop/langenhagen-hannover/gross-buchholz/stichweh-annahmestelle-und-aenderun/'
'Paketshop UPS Adolf Garbe GmbH U Co. KG';9.72515;52.32203;'https://www.paket.net/ups/paketshop/ronnenberg/devese/adolf-garbe-gmbh-u-co-kg/'
'UPS Paket Shop Kiosk am Fasanenkrug Güven';9.801154;52.431433;'https://www.paket.net/ups/paketshop/langenhagen-hannover/isernhagen-sued/kiosk-am-fasanenkrug-gueven/'
'UPS Paket Laden Edeka Markt Zegarek';9.666516;52.448459;'https://www.paket.net/ups/paketshop/seelze/engelbostel/edeka-markt-zegarek/'
'UPS Paket Shop Timesprint';9.827204;52.342979;'https://www.paket.net/ups/paketshop/sehnde/bemerode/timesprint/'
'Paket Shop UPS Geschäft Allround Shop';9.82851;52.42789;'https://www.paket.net/ups/paketshop/langenhagen-hannover/lahe/allround-shop/'
'UPS Paket Shop Vape Vegas Fachhandel Für E Zigare';9.851413;52.39131;'https://www.paket.net/ups/paketshop/lehrte-bei-hannover/gross-buchholz/vape-vegas-fachhandel-fuer-e-zigare/'
'UPS Paket Shop Esso Station A Holzapfel';9.62186;52.42609;'https://www.paket.net/ups/paketshop/seelze/havelse/esso-station-a-holzapfel/'
'Paket Shop UPS Schlüsseldienst Doghmane';9.7895;52.31657;'https://www.paket.net/ups/paketshop/ronnenberg/wuelfel/schluesseldienst-doghmane/'
